noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801400,0.000000,0.000000,0.000000
brightness, 5, 0.837300,0.000010,1.000000,10.000000
brightness, 100, 0.834200,0.000010,1.000000,10.000000
contrast, 0, 0.190200,0.000000,0.000000,0.000000
contrast, 5, 0.345600,0.000010,1.000000,10.000000
contrast, 100, 0.731000,0.000010,1.000000,10.000000
defocus_blur, 0, 0.510200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.687400,0.000010,1.000000,10.000000
defocus_blur, 100, 0.805600,0.000010,1.000000,10.000000
elastic_transform, 0, 0.716800,0.000000,0.000000,0.000000
elastic_transform, 5, 0.706500,0.000010,1.000000,10.000000
elastic_transform, 100, 0.723900,0.000010,1.000000,10.000000
fog, 0, 0.487400,0.000000,0.000000,0.000000
fog, 5, 0.631500,0.000010,1.000000,10.000000
fog, 100, 0.738500,0.000010,1.000000,10.000000
frost, 0, 0.679100,0.000000,0.000000,0.000000
frost, 5, 0.740100,0.000010,1.000000,10.000000
frost, 100, 0.746900,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.597700,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.703200,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.730800,0.000010,1.000000,10.000000
glass_blur, 0, 0.599200,0.000000,0.000000,0.000000
glass_blur, 5, 0.638200,0.000010,1.000000,10.000000
glass_blur, 100, 0.618700,0.000010,1.000000,10.000000
impulse_noise, 0, 0.385800,0.000000,0.000000,0.000000
impulse_noise, 5, 0.586800,0.000010,1.000000,10.000000
impulse_noise, 100, 0.592400,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.797700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.800800,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.783300,0.000010,1.000000,10.000000
motion_blur, 0, 0.573700,0.000000,0.000000,0.000000
motion_blur, 5, 0.689900,0.000010,1.000000,10.000000
motion_blur, 100, 0.754100,0.000010,1.000000,10.000000
pixelate, 0, 0.656900,0.000000,0.000000,0.000000
pixelate, 5, 0.756700,0.000010,1.000000,10.000000
pixelate, 100, 0.759600,0.000010,1.000000,10.000000
shot_noise, 0, 0.624800,0.000000,0.000000,0.000000
shot_noise, 5, 0.709800,0.000010,1.000000,10.000000
shot_noise, 100, 0.741500,0.000010,1.000000,10.000000
snow, 0, 0.729900,0.000000,0.000000,0.000000
snow, 5, 0.769200,0.000010,1.000000,10.000000
snow, 100, 0.763000,0.000010,1.000000,10.000000
zoom_blur, 0, 0.575100,0.000000,0.000000,0.000000
zoom_blur, 5, 0.618600,0.000010,1.000000,10.000000
zoom_blur, 100, 0.787600,0.000010,1.000000,10.000000
