noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.807100,0.000000,0.000000,0.000000
brightness, 5, 0.829100,0.000010,1.000000,10.000000
brightness, 100, 0.829700,0.000010,1.000000,10.000000
contrast, 0, 0.192900,0.000000,0.000000,0.000000
contrast, 5, 0.448900,0.000010,1.000000,10.000000
contrast, 100, 0.730900,0.000010,1.000000,10.000000
defocus_blur, 0, 0.531600,0.000000,0.000000,0.000000
defocus_blur, 5, 0.715000,0.000010,1.000000,10.000000
defocus_blur, 100, 0.812900,0.000010,1.000000,10.000000
elastic_transform, 0, 0.723000,0.000000,0.000000,0.000000
elastic_transform, 5, 0.676700,0.000010,1.000000,10.000000
elastic_transform, 100, 0.721100,0.000010,1.000000,10.000000
fog, 0, 0.512800,0.000000,0.000000,0.000000
fog, 5, 0.666000,0.000010,1.000000,10.000000
fog, 100, 0.742600,0.000010,1.000000,10.000000
frost, 0, 0.683600,0.000000,0.000000,0.000000
frost, 5, 0.747800,0.000010,1.000000,10.000000
frost, 100, 0.749600,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.592600,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.717300,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.731200,0.000010,1.000000,10.000000
glass_blur, 0, 0.600300,0.000000,0.000000,0.000000
glass_blur, 5, 0.641800,0.000010,1.000000,10.000000
glass_blur, 100, 0.633900,0.000010,1.000000,10.000000
impulse_noise, 0, 0.383500,0.000000,0.000000,0.000000
impulse_noise, 5, 0.572500,0.000010,1.000000,10.000000
impulse_noise, 100, 0.588200,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.798200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.795300,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.788200,0.000010,1.000000,10.000000
motion_blur, 0, 0.599600,0.000000,0.000000,0.000000
motion_blur, 5, 0.734800,0.000010,1.000000,10.000000
motion_blur, 100, 0.751200,0.000010,1.000000,10.000000
pixelate, 0, 0.661400,0.000000,0.000000,0.000000
pixelate, 5, 0.766100,0.000010,1.000000,10.000000
pixelate, 100, 0.755100,0.000010,1.000000,10.000000
shot_noise, 0, 0.622800,0.000000,0.000000,0.000000
shot_noise, 5, 0.738700,0.000010,1.000000,10.000000
shot_noise, 100, 0.740500,0.000010,1.000000,10.000000
snow, 0, 0.731900,0.000000,0.000000,0.000000
snow, 5, 0.752900,0.000010,1.000000,10.000000
snow, 100, 0.757800,0.000010,1.000000,10.000000
zoom_blur, 0, 0.594200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.697800,0.000010,1.000000,10.000000
zoom_blur, 100, 0.773600,0.000010,1.000000,10.000000
