noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.807100,0.000000,0.000000,0.000000
brightness, 5, 0.843200,0.000010,1.000000,10.000000
brightness, 100, 0.835600,0.000010,1.000000,10.000000
contrast, 0, 0.192900,0.000000,0.000000,0.000000
contrast, 5, 0.420400,0.000010,1.000000,10.000000
contrast, 100, 0.740000,0.000010,1.000000,10.000000
defocus_blur, 0, 0.531600,0.000000,0.000000,0.000000
defocus_blur, 5, 0.693400,0.000010,1.000000,10.000000
defocus_blur, 100, 0.808500,0.000010,1.000000,10.000000
elastic_transform, 0, 0.723000,0.000000,0.000000,0.000000
elastic_transform, 5, 0.716900,0.000010,1.000000,10.000000
elastic_transform, 100, 0.725600,0.000010,1.000000,10.000000
fog, 0, 0.512800,0.000000,0.000000,0.000000
fog, 5, 0.651700,0.000010,1.000000,10.000000
fog, 100, 0.731700,0.000010,1.000000,10.000000
frost, 0, 0.683600,0.000000,0.000000,0.000000
frost, 5, 0.757900,0.000010,1.000000,10.000000
frost, 100, 0.752900,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.592600,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.729400,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.735400,0.000010,1.000000,10.000000
glass_blur, 0, 0.600300,0.000000,0.000000,0.000000
glass_blur, 5, 0.636500,0.000010,1.000000,10.000000
glass_blur, 100, 0.631200,0.000010,1.000000,10.000000
impulse_noise, 0, 0.383500,0.000000,0.000000,0.000000
impulse_noise, 5, 0.585000,0.000010,1.000000,10.000000
impulse_noise, 100, 0.606500,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.798200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.794700,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.786100,0.000010,1.000000,10.000000
motion_blur, 0, 0.599600,0.000000,0.000000,0.000000
motion_blur, 5, 0.707300,0.000010,1.000000,10.000000
motion_blur, 100, 0.760200,0.000010,1.000000,10.000000
pixelate, 0, 0.661400,0.000000,0.000000,0.000000
pixelate, 5, 0.747500,0.000010,1.000000,10.000000
pixelate, 100, 0.773300,0.000010,1.000000,10.000000
shot_noise, 0, 0.622800,0.000000,0.000000,0.000000
shot_noise, 5, 0.729700,0.000010,1.000000,10.000000
shot_noise, 100, 0.742500,0.000010,1.000000,10.000000
snow, 0, 0.731900,0.000000,0.000000,0.000000
snow, 5, 0.743800,0.000010,1.000000,10.000000
snow, 100, 0.762200,0.000010,1.000000,10.000000
zoom_blur, 0, 0.594200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.723100,0.000010,1.000000,10.000000
zoom_blur, 100, 0.771800,0.000010,1.000000,10.000000
