noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.811200,0.000000,0.000000,0.000000
brightness, 5, 0.807600,0.000010,1.000000,10.000000
brightness, 100, 0.828800,0.000010,1.000000,10.000000
contrast, 0, 0.205000,0.000000,0.000000,0.000000
contrast, 5, 0.329500,0.000010,1.000000,10.000000
contrast, 100, 0.741000,0.000010,1.000000,10.000000
defocus_blur, 0, 0.535100,0.000000,0.000000,0.000000
defocus_blur, 5, 0.670000,0.000010,1.000000,10.000000
defocus_blur, 100, 0.808600,0.000010,1.000000,10.000000
elastic_transform, 0, 0.722900,0.000000,0.000000,0.000000
elastic_transform, 5, 0.713700,0.000010,1.000000,10.000000
elastic_transform, 100, 0.723600,0.000010,1.000000,10.000000
fog, 0, 0.514900,0.000000,0.000000,0.000000
fog, 5, 0.610400,0.000010,1.000000,10.000000
fog, 100, 0.731800,0.000010,1.000000,10.000000
frost, 0, 0.679800,0.000000,0.000000,0.000000
frost, 5, 0.730100,0.000010,1.000000,10.000000
frost, 100, 0.745500,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.586000,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.667900,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.736200,0.000010,1.000000,10.000000
glass_blur, 0, 0.599300,0.000000,0.000000,0.000000
glass_blur, 5, 0.639500,0.000010,1.000000,10.000000
glass_blur, 100, 0.636800,0.000010,1.000000,10.000000
impulse_noise, 0, 0.376200,0.000000,0.000000,0.000000
impulse_noise, 5, 0.581100,0.000010,1.000000,10.000000
impulse_noise, 100, 0.601000,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.799300,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.794100,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.773300,0.000010,1.000000,10.000000
motion_blur, 0, 0.601200,0.000000,0.000000,0.000000
motion_blur, 5, 0.689900,0.000010,1.000000,10.000000
motion_blur, 100, 0.758800,0.000010,1.000000,10.000000
pixelate, 0, 0.664000,0.000000,0.000000,0.000000
pixelate, 5, 0.755600,0.000010,1.000000,10.000000
pixelate, 100, 0.762100,0.000010,1.000000,10.000000
shot_noise, 0, 0.612500,0.000000,0.000000,0.000000
shot_noise, 5, 0.724200,0.000010,1.000000,10.000000
shot_noise, 100, 0.743200,0.000010,1.000000,10.000000
snow, 0, 0.730400,0.000000,0.000000,0.000000
snow, 5, 0.746700,0.000010,1.000000,10.000000
snow, 100, 0.758800,0.000010,1.000000,10.000000
zoom_blur, 0, 0.594600,0.000000,0.000000,0.000000
zoom_blur, 5, 0.728800,0.000010,1.000000,10.000000
zoom_blur, 100, 0.789900,0.000010,1.000000,10.000000
