noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.806100,0.000000,0.000000,0.000000
brightness, 5, 0.836100,0.000010,1.000000,10.000000
brightness, 100, 0.835700,0.000010,1.000000,10.000000
contrast, 0, 0.189800,0.000000,0.000000,0.000000
contrast, 5, 0.369200,0.000010,1.000000,10.000000
contrast, 100, 0.734100,0.000010,1.000000,10.000000
defocus_blur, 0, 0.512200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.681100,0.000010,1.000000,10.000000
defocus_blur, 100, 0.808700,0.000010,1.000000,10.000000
elastic_transform, 0, 0.711400,0.000000,0.000000,0.000000
elastic_transform, 5, 0.714100,0.000010,1.000000,10.000000
elastic_transform, 100, 0.727300,0.000010,1.000000,10.000000
fog, 0, 0.482800,0.000000,0.000000,0.000000
fog, 5, 0.648100,0.000010,1.000000,10.000000
fog, 100, 0.735000,0.000010,1.000000,10.000000
frost, 0, 0.671900,0.000000,0.000000,0.000000
frost, 5, 0.756900,0.000010,1.000000,10.000000
frost, 100, 0.746400,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.581300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.696300,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.728500,0.000010,1.000000,10.000000
glass_blur, 0, 0.592000,0.000000,0.000000,0.000000
glass_blur, 5, 0.622100,0.000010,1.000000,10.000000
glass_blur, 100, 0.626800,0.000010,1.000000,10.000000
impulse_noise, 0, 0.370900,0.000000,0.000000,0.000000
impulse_noise, 5, 0.568400,0.000010,1.000000,10.000000
impulse_noise, 100, 0.593100,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.795200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.773400,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.779600,0.000010,1.000000,10.000000
motion_blur, 0, 0.580100,0.000000,0.000000,0.000000
motion_blur, 5, 0.709600,0.000010,1.000000,10.000000
motion_blur, 100, 0.753500,0.000010,1.000000,10.000000
pixelate, 0, 0.665600,0.000000,0.000000,0.000000
pixelate, 5, 0.722000,0.000010,1.000000,10.000000
pixelate, 100, 0.761300,0.000010,1.000000,10.000000
shot_noise, 0, 0.609600,0.000000,0.000000,0.000000
shot_noise, 5, 0.741700,0.000010,1.000000,10.000000
shot_noise, 100, 0.742000,0.000010,1.000000,10.000000
snow, 0, 0.727000,0.000000,0.000000,0.000000
snow, 5, 0.752500,0.000010,1.000000,10.000000
snow, 100, 0.754500,0.000010,1.000000,10.000000
zoom_blur, 0, 0.576200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.707200,0.000010,1.000000,10.000000
zoom_blur, 100, 0.775100,0.000010,1.000000,10.000000
