noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.489120,0.000000,0.000000,0.000000
brightness, 1, 0.462080,0.000010,0.250000,10.000000
brightness, 25, 0.551300,0.000010,1.000000,10.000000
brightness, 50, 0.551400,0.000010,0.750000,10.000000
brightness, 75, 0.552820,0.000010,1.000000,10.000000
brightness, 100, 0.555820,0.000010,0.750000,10.000000
contrast, 0, 0.027760,0.000000,0.000000,0.000000
contrast, 1, 0.010440,0.000010,0.250000,10.000000
contrast, 25, 0.047860,0.000010,0.250000,10.000000
contrast, 50, 0.043300,0.000010,1.000000,10.000000
contrast, 75, 0.039240,0.000010,0.250000,10.000000
contrast, 100, 0.040340,0.000010,0.500000,10.000000
defocus_blur, 0, 0.093880,0.000000,0.000000,0.000000
defocus_blur, 1, 0.071760,0.000010,0.250000,10.000000
defocus_blur, 25, 0.104700,0.000010,0.500000,10.000000
defocus_blur, 50, 0.080160,0.000010,0.750000,10.000000
defocus_blur, 75, 0.074680,0.000010,0.250000,10.000000
defocus_blur, 100, 0.072140,0.000010,0.250000,10.000000
elastic_transform, 0, 0.146620,0.000000,0.000000,0.000000
elastic_transform, 1, 0.241540,0.000010,2.000000,10.000000
elastic_transform, 25, 0.277720,0.000010,0.250000,10.000000
elastic_transform, 50, 0.293760,0.000010,0.750000,10.000000
elastic_transform, 75, 0.297400,0.000010,0.750000,10.000000
elastic_transform, 100, 0.300140,0.000010,0.250000,10.000000
fog, 0, 0.136540,0.000000,0.000000,0.000000
fog, 1, 0.246900,0.000010,2.000000,10.000000
fog, 25, 0.297440,0.000010,1.000000,10.000000
fog, 50, 0.300340,0.000010,1.000000,10.000000
fog, 75, 0.305460,0.000010,0.250000,10.000000
fog, 100, 0.306180,0.000010,0.250000,10.000000
frost, 0, 0.150160,0.000000,0.000000,0.000000
frost, 1, 0.165700,0.000010,2.000000,10.000000
frost, 25, 0.227520,0.000010,1.000000,10.000000
frost, 50, 0.223400,0.000010,0.250000,10.000000
frost, 75, 0.221840,0.000010,1.000000,10.000000
frost, 100, 0.222860,0.000010,0.250000,10.000000
gaussian_noise, 0, 0.016040,0.000000,0.000000,0.000000
gaussian_noise, 1, 0.042380,0.000010,0.250000,10.000000
gaussian_noise, 25, 0.064040,0.000010,1.000000,10.000000
gaussian_noise, 50, 0.060760,0.000010,0.750000,10.000000
gaussian_noise, 75, 0.059620,0.000010,0.250000,10.000000
gaussian_noise, 100, 0.059400,0.000010,0.250000,10.000000
glass_blur, 0, 0.075160,0.000000,0.000000,0.000000
glass_blur, 1, 0.096920,0.000010,0.250000,10.000000
glass_blur, 25, 0.102760,0.000010,0.250000,10.000000
glass_blur, 50, 0.085040,0.000010,0.250000,10.000000
glass_blur, 75, 0.080400,0.000010,0.250000,10.000000
glass_blur, 100, 0.077340,0.000010,0.250000,10.000000
impulse_noise, 0, 0.016040,0.000000,0.000000,0.000000
impulse_noise, 1, 0.041860,0.000010,0.250000,10.000000
impulse_noise, 25, 0.065160,0.000010,0.250000,10.000000
impulse_noise, 50, 0.060980,0.000010,0.750000,10.000000
impulse_noise, 75, 0.059100,0.000010,0.750000,10.000000
impulse_noise, 100, 0.059220,0.000010,0.500000,10.000000
jpeg_compression, 0, 0.283180,0.000000,0.000000,0.000000
jpeg_compression, 1, 0.243100,0.000010,2.000000,10.000000
jpeg_compression, 25, 0.290440,0.000010,0.500000,10.000000
jpeg_compression, 50, 0.271460,0.000010,0.250000,10.000000
jpeg_compression, 75, 0.269740,0.000010,0.250000,10.000000
jpeg_compression, 100, 0.265060,0.000010,0.750000,10.000000
motion_blur, 0, 0.101480,0.000000,0.000000,0.000000
motion_blur, 1, 0.108460,0.000010,2.000000,10.000000
motion_blur, 25, 0.143080,0.000010,0.750000,10.000000
motion_blur, 50, 0.142400,0.000010,1.000000,10.000000
motion_blur, 75, 0.141780,0.000010,0.250000,10.000000
motion_blur, 100, 0.141100,0.000010,0.750000,10.000000
pixelate, 0, 0.230700,0.000000,0.000000,0.000000
pixelate, 1, 0.240840,0.000010,0.500000,10.000000
pixelate, 25, 0.321400,0.000010,0.500000,10.000000
pixelate, 50, 0.339740,0.000010,1.000000,10.000000
pixelate, 75, 0.338140,0.000010,0.500000,10.000000
pixelate, 100, 0.339740,0.000010,0.750000,10.000000
shot_noise, 0, 0.023400,0.000000,0.000000,0.000000
shot_noise, 1, 0.077100,0.000100,0.250000,10.000000
shot_noise, 25, 0.073960,0.000010,0.250000,10.000000
shot_noise, 50, 0.065160,0.000010,0.250000,10.000000
shot_noise, 75, 0.065440,0.000010,0.750000,10.000000
shot_noise, 100, 0.064760,0.000010,0.500000,10.000000
snow, 0, 0.105460,0.000000,0.000000,0.000000
snow, 1, 0.109900,0.000010,0.250000,10.000000
snow, 25, 0.173700,0.000010,0.250000,10.000000
snow, 50, 0.190200,0.000010,0.250000,10.000000
snow, 75, 0.195000,0.000010,0.250000,10.000000
snow, 100, 0.195680,0.000010,0.500000,10.000000
zoom_blur, 0, 0.181820,0.000000,0.000000,0.000000
zoom_blur, 1, 0.054080,0.000010,0.250000,10.000000
zoom_blur, 25, 0.249220,0.000010,1.000000,10.000000
zoom_blur, 50, 0.254580,0.000010,0.500000,10.000000
zoom_blur, 75, 0.257060,0.000010,0.250000,10.000000
zoom_blur, 100, 0.254340,0.000010,1.000000,10.000000
