noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.810000,0.000000,0.000000,0.000000
brightness, 5, 0.831700,0.000010,1.000000,10.000000
brightness, 100, 0.832700,0.000010,1.000000,10.000000
contrast, 0, 0.197900,0.000000,0.000000,0.000000
contrast, 5, 0.409400,0.000010,1.000000,10.000000
contrast, 100, 0.732500,0.000010,1.000000,10.000000
defocus_blur, 0, 0.532800,0.000000,0.000000,0.000000
defocus_blur, 5, 0.652800,0.000010,1.000000,10.000000
defocus_blur, 100, 0.808200,0.000010,1.000000,10.000000
elastic_transform, 0, 0.721600,0.000000,0.000000,0.000000
elastic_transform, 5, 0.731800,0.000010,1.000000,10.000000
elastic_transform, 100, 0.727200,0.000010,1.000000,10.000000
fog, 0, 0.515000,0.000000,0.000000,0.000000
fog, 5, 0.678400,0.000010,1.000000,10.000000
fog, 100, 0.730500,0.000010,1.000000,10.000000
frost, 0, 0.687100,0.000000,0.000000,0.000000
frost, 5, 0.763500,0.000010,1.000000,10.000000
frost, 100, 0.745800,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.601700,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.698900,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.733400,0.000010,1.000000,10.000000
glass_blur, 0, 0.610200,0.000000,0.000000,0.000000
glass_blur, 5, 0.625500,0.000010,1.000000,10.000000
glass_blur, 100, 0.623000,0.000010,1.000000,10.000000
impulse_noise, 0, 0.392500,0.000000,0.000000,0.000000
impulse_noise, 5, 0.578100,0.000010,1.000000,10.000000
impulse_noise, 100, 0.587400,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.797700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.786300,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.787200,0.000010,1.000000,10.000000
motion_blur, 0, 0.597100,0.000000,0.000000,0.000000
motion_blur, 5, 0.693400,0.000010,1.000000,10.000000
motion_blur, 100, 0.748100,0.000010,1.000000,10.000000
pixelate, 0, 0.653900,0.000000,0.000000,0.000000
pixelate, 5, 0.745900,0.000010,1.000000,10.000000
pixelate, 100, 0.763600,0.000010,1.000000,10.000000
shot_noise, 0, 0.632900,0.000000,0.000000,0.000000
shot_noise, 5, 0.730500,0.000010,1.000000,10.000000
shot_noise, 100, 0.740900,0.000010,1.000000,10.000000
snow, 0, 0.733300,0.000000,0.000000,0.000000
snow, 5, 0.754700,0.000010,1.000000,10.000000
snow, 100, 0.761600,0.000010,1.000000,10.000000
zoom_blur, 0, 0.594700,0.000000,0.000000,0.000000
zoom_blur, 5, 0.734400,0.000010,1.000000,10.000000
zoom_blur, 100, 0.785200,0.000010,1.000000,10.000000
