noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.806100,0.000000,0.000000,0.000000
brightness, 5, 0.826900,0.000010,1.000000,10.000000
brightness, 100, 0.826700,0.000010,1.000000,10.000000
contrast, 0, 0.189800,0.000000,0.000000,0.000000
contrast, 5, 0.280400,0.000010,1.000000,10.000000
contrast, 100, 0.725400,0.000010,1.000000,10.000000
defocus_blur, 0, 0.512200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.692300,0.000010,1.000000,10.000000
defocus_blur, 100, 0.809900,0.000010,1.000000,10.000000
elastic_transform, 0, 0.711400,0.000000,0.000000,0.000000
elastic_transform, 5, 0.709500,0.000010,1.000000,10.000000
elastic_transform, 100, 0.722400,0.000010,1.000000,10.000000
fog, 0, 0.482800,0.000000,0.000000,0.000000
fog, 5, 0.643900,0.000010,1.000000,10.000000
fog, 100, 0.731000,0.000010,1.000000,10.000000
frost, 0, 0.671900,0.000000,0.000000,0.000000
frost, 5, 0.762300,0.000010,1.000000,10.000000
frost, 100, 0.751600,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.581300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.719700,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.739900,0.000010,1.000000,10.000000
glass_blur, 0, 0.592000,0.000000,0.000000,0.000000
glass_blur, 5, 0.609800,0.000010,1.000000,10.000000
glass_blur, 100, 0.622200,0.000010,1.000000,10.000000
impulse_noise, 0, 0.370900,0.000000,0.000000,0.000000
impulse_noise, 5, 0.573300,0.000010,1.000000,10.000000
impulse_noise, 100, 0.601800,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.795200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.791700,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.783200,0.000010,1.000000,10.000000
motion_blur, 0, 0.580100,0.000000,0.000000,0.000000
motion_blur, 5, 0.693400,0.000010,1.000000,10.000000
motion_blur, 100, 0.758500,0.000010,1.000000,10.000000
pixelate, 0, 0.665600,0.000000,0.000000,0.000000
pixelate, 5, 0.728800,0.000010,1.000000,10.000000
pixelate, 100, 0.739000,0.000010,1.000000,10.000000
shot_noise, 0, 0.609600,0.000000,0.000000,0.000000
shot_noise, 5, 0.738400,0.000010,1.000000,10.000000
shot_noise, 100, 0.748800,0.000010,1.000000,10.000000
snow, 0, 0.727000,0.000000,0.000000,0.000000
snow, 5, 0.760700,0.000010,1.000000,10.000000
snow, 100, 0.765700,0.000010,1.000000,10.000000
zoom_blur, 0, 0.576200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.688300,0.000010,1.000000,10.000000
zoom_blur, 100, 0.774700,0.000010,1.000000,10.000000
