noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801700,0.000000,0.000000,0.000000
brightness, 5, 0.834900,0.000010,1.000000,10.000000
brightness, 100, 0.836100,0.000010,1.000000,10.000000
contrast, 0, 0.183700,0.000000,0.000000,0.000000
contrast, 5, 0.399900,0.000010,1.000000,10.000000
contrast, 100, 0.735600,0.000010,1.000000,10.000000
defocus_blur, 0, 0.514500,0.000000,0.000000,0.000000
defocus_blur, 5, 0.701500,0.000010,1.000000,10.000000
defocus_blur, 100, 0.810000,0.000010,1.000000,10.000000
elastic_transform, 0, 0.714100,0.000000,0.000000,0.000000
elastic_transform, 5, 0.696600,0.000010,1.000000,10.000000
elastic_transform, 100, 0.721100,0.000010,1.000000,10.000000
fog, 0, 0.485500,0.000000,0.000000,0.000000
fog, 5, 0.640600,0.000010,1.000000,10.000000
fog, 100, 0.738700,0.000010,1.000000,10.000000
frost, 0, 0.678800,0.000000,0.000000,0.000000
frost, 5, 0.756200,0.000010,1.000000,10.000000
frost, 100, 0.749700,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.589100,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.725200,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.731100,0.000010,1.000000,10.000000
glass_blur, 0, 0.601000,0.000000,0.000000,0.000000
glass_blur, 5, 0.634900,0.000010,1.000000,10.000000
glass_blur, 100, 0.618300,0.000010,1.000000,10.000000
impulse_noise, 0, 0.381400,0.000000,0.000000,0.000000
impulse_noise, 5, 0.586000,0.000010,1.000000,10.000000
impulse_noise, 100, 0.597900,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.791700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.792700,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.780500,0.000010,1.000000,10.000000
motion_blur, 0, 0.586700,0.000000,0.000000,0.000000
motion_blur, 5, 0.688600,0.000010,1.000000,10.000000
motion_blur, 100, 0.766300,0.000010,1.000000,10.000000
pixelate, 0, 0.646700,0.000000,0.000000,0.000000
pixelate, 5, 0.763800,0.000010,1.000000,10.000000
pixelate, 100, 0.765800,0.000010,1.000000,10.000000
shot_noise, 0, 0.618600,0.000000,0.000000,0.000000
shot_noise, 5, 0.734000,0.000010,1.000000,10.000000
shot_noise, 100, 0.726100,0.000010,1.000000,10.000000
snow, 0, 0.723600,0.000000,0.000000,0.000000
snow, 5, 0.774600,0.000010,1.000000,10.000000
snow, 100, 0.754100,0.000010,1.000000,10.000000
zoom_blur, 0, 0.582500,0.000000,0.000000,0.000000
zoom_blur, 5, 0.741300,0.000010,1.000000,10.000000
zoom_blur, 100, 0.779700,0.000010,1.000000,10.000000
