noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.806100,0.000000,0.000000,0.000000
brightness, 5, 0.828000,0.000010,1.000000,10.000000
brightness, 100, 0.830500,0.000010,1.000000,10.000000
contrast, 0, 0.189800,0.000000,0.000000,0.000000
contrast, 5, 0.369900,0.000010,1.000000,10.000000
contrast, 100, 0.731100,0.000010,1.000000,10.000000
defocus_blur, 0, 0.512200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.646400,0.000010,1.000000,10.000000
defocus_blur, 100, 0.807400,0.000010,1.000000,10.000000
elastic_transform, 0, 0.711400,0.000000,0.000000,0.000000
elastic_transform, 5, 0.712900,0.000010,1.000000,10.000000
elastic_transform, 100, 0.728800,0.000010,1.000000,10.000000
fog, 0, 0.482800,0.000000,0.000000,0.000000
fog, 5, 0.638900,0.000010,1.000000,10.000000
fog, 100, 0.737500,0.000010,1.000000,10.000000
frost, 0, 0.671900,0.000000,0.000000,0.000000
frost, 5, 0.734500,0.000010,1.000000,10.000000
frost, 100, 0.748000,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.581300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.728700,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.725200,0.000010,1.000000,10.000000
glass_blur, 0, 0.592000,0.000000,0.000000,0.000000
glass_blur, 5, 0.640700,0.000010,1.000000,10.000000
glass_blur, 100, 0.619200,0.000010,1.000000,10.000000
impulse_noise, 0, 0.370900,0.000000,0.000000,0.000000
impulse_noise, 5, 0.573200,0.000010,1.000000,10.000000
impulse_noise, 100, 0.607200,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.795200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.789900,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.775700,0.000010,1.000000,10.000000
motion_blur, 0, 0.580100,0.000000,0.000000,0.000000
motion_blur, 5, 0.721800,0.000010,1.000000,10.000000
motion_blur, 100, 0.755600,0.000010,1.000000,10.000000
pixelate, 0, 0.665600,0.000000,0.000000,0.000000
pixelate, 5, 0.769900,0.000010,1.000000,10.000000
pixelate, 100, 0.764600,0.000010,1.000000,10.000000
shot_noise, 0, 0.609600,0.000000,0.000000,0.000000
shot_noise, 5, 0.710300,0.000010,1.000000,10.000000
shot_noise, 100, 0.746700,0.000010,1.000000,10.000000
snow, 0, 0.727000,0.000000,0.000000,0.000000
snow, 5, 0.749500,0.000010,1.000000,10.000000
snow, 100, 0.758400,0.000010,1.000000,10.000000
zoom_blur, 0, 0.576200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.700000,0.000010,1.000000,10.000000
zoom_blur, 100, 0.769200,0.000010,1.000000,10.000000
