noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.807100,0.000000,0.000000,0.000000
brightness, 5, 0.818600,0.000010,1.000000,10.000000
brightness, 100, 0.833900,0.000010,1.000000,10.000000
contrast, 0, 0.192900,0.000000,0.000000,0.000000
contrast, 5, 0.403700,0.000010,1.000000,10.000000
contrast, 100, 0.744600,0.000010,1.000000,10.000000
defocus_blur, 0, 0.531600,0.000000,0.000000,0.000000
defocus_blur, 5, 0.719200,0.000010,1.000000,10.000000
defocus_blur, 100, 0.808900,0.000010,1.000000,10.000000
elastic_transform, 0, 0.723000,0.000000,0.000000,0.000000
elastic_transform, 5, 0.724600,0.000010,1.000000,10.000000
elastic_transform, 100, 0.726600,0.000010,1.000000,10.000000
fog, 0, 0.512800,0.000000,0.000000,0.000000
fog, 5, 0.609700,0.000010,1.000000,10.000000
fog, 100, 0.739300,0.000010,1.000000,10.000000
frost, 0, 0.683600,0.000000,0.000000,0.000000
frost, 5, 0.762500,0.000010,1.000000,10.000000
frost, 100, 0.752500,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.592600,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.711000,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.732600,0.000010,1.000000,10.000000
glass_blur, 0, 0.600300,0.000000,0.000000,0.000000
glass_blur, 5, 0.640800,0.000010,1.000000,10.000000
glass_blur, 100, 0.626600,0.000010,1.000000,10.000000
impulse_noise, 0, 0.383500,0.000000,0.000000,0.000000
impulse_noise, 5, 0.565900,0.000010,1.000000,10.000000
impulse_noise, 100, 0.606500,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.798200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.775000,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.776600,0.000010,1.000000,10.000000
motion_blur, 0, 0.599600,0.000000,0.000000,0.000000
motion_blur, 5, 0.691700,0.000010,1.000000,10.000000
motion_blur, 100, 0.755900,0.000010,1.000000,10.000000
pixelate, 0, 0.661400,0.000000,0.000000,0.000000
pixelate, 5, 0.757100,0.000010,1.000000,10.000000
pixelate, 100, 0.765600,0.000010,1.000000,10.000000
shot_noise, 0, 0.622800,0.000000,0.000000,0.000000
shot_noise, 5, 0.738500,0.000010,1.000000,10.000000
shot_noise, 100, 0.740700,0.000010,1.000000,10.000000
snow, 0, 0.731900,0.000000,0.000000,0.000000
snow, 5, 0.754100,0.000010,1.000000,10.000000
snow, 100, 0.771700,0.000010,1.000000,10.000000
zoom_blur, 0, 0.594200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.704900,0.000010,1.000000,10.000000
zoom_blur, 100, 0.784500,0.000010,1.000000,10.000000
