noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.810000,0.000000,0.000000,0.000000
brightness, 5, 0.826700,0.000010,1.000000,10.000000
brightness, 100, 0.831700,0.000010,1.000000,10.000000
contrast, 0, 0.197900,0.000000,0.000000,0.000000
contrast, 5, 0.337100,0.000010,1.000000,10.000000
contrast, 100, 0.736600,0.000010,1.000000,10.000000
defocus_blur, 0, 0.532800,0.000000,0.000000,0.000000
defocus_blur, 5, 0.721400,0.000010,1.000000,10.000000
defocus_blur, 100, 0.808900,0.000010,1.000000,10.000000
elastic_transform, 0, 0.721600,0.000000,0.000000,0.000000
elastic_transform, 5, 0.724600,0.000010,1.000000,10.000000
elastic_transform, 100, 0.724500,0.000010,1.000000,10.000000
fog, 0, 0.515000,0.000000,0.000000,0.000000
fog, 5, 0.602100,0.000010,1.000000,10.000000
fog, 100, 0.734900,0.000010,1.000000,10.000000
frost, 0, 0.687100,0.000000,0.000000,0.000000
frost, 5, 0.748300,0.000010,1.000000,10.000000
frost, 100, 0.752100,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.601700,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.705500,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.740600,0.000010,1.000000,10.000000
glass_blur, 0, 0.610200,0.000000,0.000000,0.000000
glass_blur, 5, 0.642000,0.000010,1.000000,10.000000
glass_blur, 100, 0.626400,0.000010,1.000000,10.000000
impulse_noise, 0, 0.392500,0.000000,0.000000,0.000000
impulse_noise, 5, 0.565500,0.000010,1.000000,10.000000
impulse_noise, 100, 0.596300,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.797700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.791300,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.770800,0.000010,1.000000,10.000000
motion_blur, 0, 0.597100,0.000000,0.000000,0.000000
motion_blur, 5, 0.654500,0.000010,1.000000,10.000000
motion_blur, 100, 0.750500,0.000010,1.000000,10.000000
pixelate, 0, 0.653900,0.000000,0.000000,0.000000
pixelate, 5, 0.752800,0.000010,1.000000,10.000000
pixelate, 100, 0.759600,0.000010,1.000000,10.000000
shot_noise, 0, 0.632900,0.000000,0.000000,0.000000
shot_noise, 5, 0.751000,0.000010,1.000000,10.000000
shot_noise, 100, 0.739900,0.000010,1.000000,10.000000
snow, 0, 0.733300,0.000000,0.000000,0.000000
snow, 5, 0.738700,0.000010,1.000000,10.000000
snow, 100, 0.743900,0.000010,1.000000,10.000000
zoom_blur, 0, 0.594700,0.000000,0.000000,0.000000
zoom_blur, 5, 0.697200,0.000010,1.000000,10.000000
zoom_blur, 100, 0.774100,0.000010,1.000000,10.000000
