noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 1, 0.687800,0.000100,2.000000,1.000000
brightness, 25, 0.796800,0.000010,2.000000,1.000000
brightness, 50, 0.765700,0.000010,1.000000,1.000000
brightness, 75, 0.789700,0.000010,0.250000,1.000000
brightness, 100, 0.775600,0.000010,1.000000,1.000000
contrast, 1, 0.184800,0.000010,0.250000,1.000000
contrast, 25, 0.486200,0.000100,0.750000,1.000000
contrast, 50, 0.558000,0.000100,2.000000,1.000000
contrast, 75, 0.571000,0.000100,0.750000,1.000000
contrast, 100, 0.514900,0.000100,0.250000,1.000000
defocus_blur, 1, 0.438400,0.000010,0.250000,1.000000
defocus_blur, 25, 0.719800,0.000100,1.000000,1.000000
defocus_blur, 50, 0.686800,0.000100,0.750000,1.000000
defocus_blur, 75, 0.692700,0.000100,0.500000,1.000000
defocus_blur, 100, 0.638000,0.000100,0.500000,1.000000
elastic_transform, 1, 0.570700,0.000100,2.000000,1.000000
elastic_transform, 25, 0.721300,0.000100,0.750000,1.000000
elastic_transform, 50, 0.708200,0.000010,0.500000,1.000000
elastic_transform, 75, 0.717200,0.000010,2.000000,1.000000
elastic_transform, 100, 0.712400,0.000010,0.750000,1.000000
fog, 1, 0.449700,0.000100,2.000000,1.000000
fog, 25, 0.655100,0.000100,0.500000,1.000000
fog, 50, 0.675700,0.000010,2.000000,1.000000
fog, 75, 0.697800,0.000010,2.000000,1.000000
fog, 100, 0.685600,0.000010,1.000000,1.000000
frost, 1, 0.433900,0.001000,2.000000,1.000000
frost, 25, 0.718000,0.000010,0.750000,1.000000
frost, 50, 0.711600,0.000010,1.000000,1.000000
frost, 75, 0.721500,0.000010,0.250000,1.000000
frost, 100, 0.710100,0.000010,1.000000,1.000000
gaussian_blur, 1, 0.461500,0.000100,0.250000,1.000000
gaussian_blur, 25, 0.713100,0.000100,0.250000,1.000000
gaussian_blur, 50, 0.608100,0.000100,1.000000,1.000000
gaussian_blur, 75, 0.685900,0.000100,2.000000,1.000000
gaussian_blur, 100, 0.614000,0.000100,0.250000,1.000000
gaussian_noise, 1, 0.617000,0.000100,2.000000,1.000000
gaussian_noise, 25, 0.704800,0.000010,1.000000,1.000000
gaussian_noise, 50, 0.696700,0.000010,2.000000,1.000000
gaussian_noise, 75, 0.714500,0.000010,0.750000,1.000000
gaussian_noise, 100, 0.692500,0.000010,2.000000,1.000000
glass_blur, 1, 0.524100,0.000100,0.750000,1.000000
glass_blur, 25, 0.603300,0.000100,0.750000,1.000000
glass_blur, 50, 0.593200,0.000010,0.750000,1.000000
glass_blur, 75, 0.604300,0.000010,2.000000,1.000000
glass_blur, 100, 0.618100,0.000010,2.000000,1.000000
impulse_noise, 1, 0.546800,0.000100,2.000000,1.000000
impulse_noise, 25, 0.614900,0.000010,2.000000,1.000000
impulse_noise, 50, 0.590200,0.000010,0.250000,1.000000
impulse_noise, 75, 0.566400,0.000100,1.000000,1.000000
