noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.806100,0.000000,0.000000,0.000000
brightness, 5, 0.826700,0.000010,1.000000,10.000000
brightness, 100, 0.835800,0.000010,1.000000,10.000000
contrast, 0, 0.189800,0.000000,0.000000,0.000000
contrast, 5, 0.295900,0.000010,1.000000,10.000000
contrast, 100, 0.737000,0.000010,1.000000,10.000000
defocus_blur, 0, 0.512200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.726000,0.000010,1.000000,10.000000
defocus_blur, 100, 0.810700,0.000010,1.000000,10.000000
elastic_transform, 0, 0.711400,0.000000,0.000000,0.000000
elastic_transform, 5, 0.720200,0.000010,1.000000,10.000000
elastic_transform, 100, 0.714800,0.000010,1.000000,10.000000
fog, 0, 0.482800,0.000000,0.000000,0.000000
fog, 5, 0.566300,0.000010,1.000000,10.000000
fog, 100, 0.733000,0.000010,1.000000,10.000000
frost, 0, 0.671900,0.000000,0.000000,0.000000
frost, 5, 0.730000,0.000010,1.000000,10.000000
frost, 100, 0.748100,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.581300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.724600,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.724800,0.000010,1.000000,10.000000
glass_blur, 0, 0.592000,0.000000,0.000000,0.000000
glass_blur, 5, 0.638900,0.000010,1.000000,10.000000
glass_blur, 100, 0.620100,0.000010,1.000000,10.000000
impulse_noise, 0, 0.370900,0.000000,0.000000,0.000000
impulse_noise, 5, 0.590600,0.000010,1.000000,10.000000
impulse_noise, 100, 0.593200,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.795200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.789500,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.785100,0.000010,1.000000,10.000000
motion_blur, 0, 0.580100,0.000000,0.000000,0.000000
motion_blur, 5, 0.695000,0.000010,1.000000,10.000000
motion_blur, 100, 0.756200,0.000010,1.000000,10.000000
pixelate, 0, 0.665600,0.000000,0.000000,0.000000
pixelate, 5, 0.743000,0.000010,1.000000,10.000000
pixelate, 100, 0.756000,0.000010,1.000000,10.000000
shot_noise, 0, 0.609600,0.000000,0.000000,0.000000
shot_noise, 5, 0.730500,0.000010,1.000000,10.000000
shot_noise, 100, 0.736700,0.000010,1.000000,10.000000
snow, 0, 0.727000,0.000000,0.000000,0.000000
snow, 5, 0.749600,0.000010,1.000000,10.000000
snow, 100, 0.770600,0.000010,1.000000,10.000000
zoom_blur, 0, 0.576200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.692400,0.000010,1.000000,10.000000
zoom_blur, 100, 0.776200,0.000010,1.000000,10.000000
