noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801400,0.000000,0.000000,0.000000
brightness, 5, 0.841300,0.000010,1.000000,10.000000
brightness, 100, 0.834500,0.000010,1.000000,10.000000
contrast, 0, 0.190200,0.000000,0.000000,0.000000
contrast, 5, 0.307900,0.000010,1.000000,10.000000
contrast, 100, 0.749900,0.000010,1.000000,10.000000
defocus_blur, 0, 0.510200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.726300,0.000010,1.000000,10.000000
defocus_blur, 100, 0.813500,0.000010,1.000000,10.000000
elastic_transform, 0, 0.716800,0.000000,0.000000,0.000000
elastic_transform, 5, 0.718900,0.000010,1.000000,10.000000
elastic_transform, 100, 0.727500,0.000010,1.000000,10.000000
fog, 0, 0.487400,0.000000,0.000000,0.000000
fog, 5, 0.548600,0.000010,1.000000,10.000000
fog, 100, 0.728800,0.000010,1.000000,10.000000
frost, 0, 0.679100,0.000000,0.000000,0.000000
frost, 5, 0.723200,0.000010,1.000000,10.000000
frost, 100, 0.753100,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.597700,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.714900,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.734500,0.000010,1.000000,10.000000
glass_blur, 0, 0.599200,0.000000,0.000000,0.000000
glass_blur, 5, 0.639600,0.000010,1.000000,10.000000
glass_blur, 100, 0.624200,0.000010,1.000000,10.000000
impulse_noise, 0, 0.385800,0.000000,0.000000,0.000000
impulse_noise, 5, 0.561800,0.000010,1.000000,10.000000
impulse_noise, 100, 0.601300,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.797700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.798400,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.788600,0.000010,1.000000,10.000000
motion_blur, 0, 0.573700,0.000000,0.000000,0.000000
motion_blur, 5, 0.711900,0.000010,1.000000,10.000000
motion_blur, 100, 0.758800,0.000010,1.000000,10.000000
pixelate, 0, 0.656900,0.000000,0.000000,0.000000
pixelate, 5, 0.767000,0.000010,1.000000,10.000000
pixelate, 100, 0.767500,0.000010,1.000000,10.000000
shot_noise, 0, 0.624800,0.000000,0.000000,0.000000
shot_noise, 5, 0.743700,0.000010,1.000000,10.000000
shot_noise, 100, 0.742900,0.000010,1.000000,10.000000
snow, 0, 0.729900,0.000000,0.000000,0.000000
snow, 5, 0.766400,0.000010,1.000000,10.000000
snow, 100, 0.766800,0.000010,1.000000,10.000000
zoom_blur, 0, 0.575100,0.000000,0.000000,0.000000
zoom_blur, 5, 0.683600,0.000010,1.000000,10.000000
zoom_blur, 100, 0.778700,0.000010,1.000000,10.000000
