noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.807100,0.000000,0.000000,0.000000
brightness, 5, 0.821500,0.000010,1.000000,10.000000
brightness, 100, 0.834200,0.000010,1.000000,10.000000
contrast, 0, 0.192900,0.000000,0.000000,0.000000
contrast, 5, 0.366200,0.000010,1.000000,10.000000
contrast, 100, 0.734600,0.000010,1.000000,10.000000
defocus_blur, 0, 0.531600,0.000000,0.000000,0.000000
defocus_blur, 5, 0.676400,0.000010,1.000000,10.000000
defocus_blur, 100, 0.805900,0.000010,1.000000,10.000000
elastic_transform, 0, 0.723000,0.000000,0.000000,0.000000
elastic_transform, 5, 0.727000,0.000010,1.000000,10.000000
elastic_transform, 100, 0.736500,0.000010,1.000000,10.000000
fog, 0, 0.512800,0.000000,0.000000,0.000000
fog, 5, 0.658700,0.000010,1.000000,10.000000
fog, 100, 0.730400,0.000010,1.000000,10.000000
frost, 0, 0.683600,0.000000,0.000000,0.000000
frost, 5, 0.771400,0.000010,1.000000,10.000000
frost, 100, 0.749200,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.592600,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.714500,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.725100,0.000010,1.000000,10.000000
glass_blur, 0, 0.600300,0.000000,0.000000,0.000000
glass_blur, 5, 0.624000,0.000010,1.000000,10.000000
glass_blur, 100, 0.628300,0.000010,1.000000,10.000000
impulse_noise, 0, 0.383500,0.000000,0.000000,0.000000
impulse_noise, 5, 0.577600,0.000010,1.000000,10.000000
impulse_noise, 100, 0.606600,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.798200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.794400,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.785400,0.000010,1.000000,10.000000
motion_blur, 0, 0.599600,0.000000,0.000000,0.000000
motion_blur, 5, 0.717800,0.000010,1.000000,10.000000
motion_blur, 100, 0.756700,0.000010,1.000000,10.000000
pixelate, 0, 0.661400,0.000000,0.000000,0.000000
pixelate, 5, 0.738400,0.000010,1.000000,10.000000
pixelate, 100, 0.751300,0.000010,1.000000,10.000000
shot_noise, 0, 0.622800,0.000000,0.000000,0.000000
shot_noise, 5, 0.723300,0.000010,1.000000,10.000000
shot_noise, 100, 0.741100,0.000010,1.000000,10.000000
snow, 0, 0.731900,0.000000,0.000000,0.000000
snow, 5, 0.747200,0.000010,1.000000,10.000000
snow, 100, 0.753000,0.000010,1.000000,10.000000
zoom_blur, 0, 0.594200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.710600,0.000010,1.000000,10.000000
zoom_blur, 100, 0.783400,0.000010,1.000000,10.000000
