noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.806100,0.000000,0.000000,0.000000
brightness, 5, 0.829600,0.000010,1.000000,10.000000
brightness, 100, 0.831200,0.000010,1.000000,10.000000
contrast, 0, 0.189800,0.000000,0.000000,0.000000
contrast, 5, 0.402900,0.000010,1.000000,10.000000
contrast, 100, 0.741600,0.000010,1.000000,10.000000
defocus_blur, 0, 0.512200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.651100,0.000010,1.000000,10.000000
defocus_blur, 100, 0.813100,0.000010,1.000000,10.000000
elastic_transform, 0, 0.711400,0.000000,0.000000,0.000000
elastic_transform, 5, 0.725000,0.000010,1.000000,10.000000
elastic_transform, 100, 0.729800,0.000010,1.000000,10.000000
fog, 0, 0.482800,0.000000,0.000000,0.000000
fog, 5, 0.634000,0.000010,1.000000,10.000000
fog, 100, 0.730600,0.000010,1.000000,10.000000
frost, 0, 0.671900,0.000000,0.000000,0.000000
frost, 5, 0.744200,0.000010,1.000000,10.000000
frost, 100, 0.738200,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.581300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.717600,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.737300,0.000010,1.000000,10.000000
glass_blur, 0, 0.592000,0.000000,0.000000,0.000000
glass_blur, 5, 0.598200,0.000010,1.000000,10.000000
glass_blur, 100, 0.610600,0.000010,1.000000,10.000000
impulse_noise, 0, 0.370900,0.000000,0.000000,0.000000
impulse_noise, 5, 0.569400,0.000010,1.000000,10.000000
impulse_noise, 100, 0.596800,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.795200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.781400,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.787500,0.000010,1.000000,10.000000
motion_blur, 0, 0.580100,0.000000,0.000000,0.000000
motion_blur, 5, 0.670600,0.000010,1.000000,10.000000
motion_blur, 100, 0.757300,0.000010,1.000000,10.000000
pixelate, 0, 0.665600,0.000000,0.000000,0.000000
pixelate, 5, 0.778300,0.000010,1.000000,10.000000
pixelate, 100, 0.760800,0.000010,1.000000,10.000000
shot_noise, 0, 0.609600,0.000000,0.000000,0.000000
shot_noise, 5, 0.737800,0.000010,1.000000,10.000000
shot_noise, 100, 0.756700,0.000010,1.000000,10.000000
snow, 0, 0.727000,0.000000,0.000000,0.000000
snow, 5, 0.762600,0.000010,1.000000,10.000000
snow, 100, 0.765500,0.000010,1.000000,10.000000
zoom_blur, 0, 0.576200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.739900,0.000010,1.000000,10.000000
zoom_blur, 100, 0.768300,0.000010,1.000000,10.000000
