noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801400,0.000000,0.000000,0.000000
brightness, 5, 0.837300,0.000010,1.000000,10.000000
brightness, 100, 0.837700,0.000010,1.000000,10.000000
contrast, 0, 0.190200,0.000000,0.000000,0.000000
contrast, 5, 0.345500,0.000010,1.000000,10.000000
contrast, 100, 0.730100,0.000010,1.000000,10.000000
defocus_blur, 0, 0.510200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.707800,0.000010,1.000000,10.000000
defocus_blur, 100, 0.808100,0.000010,1.000000,10.000000
elastic_transform, 0, 0.716800,0.000000,0.000000,0.000000
elastic_transform, 5, 0.722400,0.000010,1.000000,10.000000
elastic_transform, 100, 0.730100,0.000010,1.000000,10.000000
fog, 0, 0.487400,0.000000,0.000000,0.000000
fog, 5, 0.566400,0.000010,1.000000,10.000000
fog, 100, 0.736200,0.000010,1.000000,10.000000
frost, 0, 0.679100,0.000000,0.000000,0.000000
frost, 5, 0.744200,0.000010,1.000000,10.000000
frost, 100, 0.752300,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.597700,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.747200,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.732900,0.000010,1.000000,10.000000
glass_blur, 0, 0.599200,0.000000,0.000000,0.000000
glass_blur, 5, 0.598700,0.000010,1.000000,10.000000
glass_blur, 100, 0.618700,0.000010,1.000000,10.000000
impulse_noise, 0, 0.385800,0.000000,0.000000,0.000000
impulse_noise, 5, 0.573800,0.000010,1.000000,10.000000
impulse_noise, 100, 0.595900,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.797700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.772100,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.783600,0.000010,1.000000,10.000000
motion_blur, 0, 0.573700,0.000000,0.000000,0.000000
motion_blur, 5, 0.695300,0.000010,1.000000,10.000000
motion_blur, 100, 0.761800,0.000010,1.000000,10.000000
pixelate, 0, 0.656900,0.000000,0.000000,0.000000
pixelate, 5, 0.746800,0.000010,1.000000,10.000000
pixelate, 100, 0.761800,0.000010,1.000000,10.000000
shot_noise, 0, 0.624800,0.000000,0.000000,0.000000
shot_noise, 5, 0.723700,0.000010,1.000000,10.000000
shot_noise, 100, 0.739700,0.000010,1.000000,10.000000
snow, 0, 0.729900,0.000000,0.000000,0.000000
snow, 5, 0.765500,0.000010,1.000000,10.000000
snow, 100, 0.756800,0.000010,1.000000,10.000000
zoom_blur, 0, 0.575100,0.000000,0.000000,0.000000
zoom_blur, 5, 0.706400,0.000010,1.000000,10.000000
zoom_blur, 100, 0.773700,0.000010,1.000000,10.000000
