noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801700,0.000000,0.000000,0.000000
brightness, 5, 0.794800,0.000010,1.000000,10.000000
brightness, 100, 0.835100,0.000010,1.000000,10.000000
contrast, 0, 0.183700,0.000000,0.000000,0.000000
contrast, 5, 0.411000,0.000010,1.000000,10.000000
contrast, 100, 0.729600,0.000010,1.000000,10.000000
defocus_blur, 0, 0.514500,0.000000,0.000000,0.000000
defocus_blur, 5, 0.738500,0.000010,1.000000,10.000000
defocus_blur, 100, 0.811900,0.000010,1.000000,10.000000
elastic_transform, 0, 0.714100,0.000000,0.000000,0.000000
elastic_transform, 5, 0.725700,0.000010,1.000000,10.000000
elastic_transform, 100, 0.725200,0.000010,1.000000,10.000000
fog, 0, 0.485500,0.000000,0.000000,0.000000
fog, 5, 0.688100,0.000010,1.000000,10.000000
fog, 100, 0.740800,0.000010,1.000000,10.000000
frost, 0, 0.678800,0.000000,0.000000,0.000000
frost, 5, 0.760100,0.000010,1.000000,10.000000
frost, 100, 0.745800,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.589100,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.688600,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.731500,0.000010,1.000000,10.000000
glass_blur, 0, 0.601000,0.000000,0.000000,0.000000
glass_blur, 5, 0.624700,0.000010,1.000000,10.000000
glass_blur, 100, 0.619300,0.000010,1.000000,10.000000
impulse_noise, 0, 0.381400,0.000000,0.000000,0.000000
impulse_noise, 5, 0.547800,0.000010,1.000000,10.000000
impulse_noise, 100, 0.600000,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.791700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.787600,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.779200,0.000010,1.000000,10.000000
motion_blur, 0, 0.586700,0.000000,0.000000,0.000000
motion_blur, 5, 0.694400,0.000010,1.000000,10.000000
motion_blur, 100, 0.765700,0.000010,1.000000,10.000000
pixelate, 0, 0.646700,0.000000,0.000000,0.000000
pixelate, 5, 0.750500,0.000010,1.000000,10.000000
pixelate, 100, 0.759600,0.000010,1.000000,10.000000
shot_noise, 0, 0.618600,0.000000,0.000000,0.000000
shot_noise, 5, 0.705500,0.000010,1.000000,10.000000
shot_noise, 100, 0.747100,0.000010,1.000000,10.000000
snow, 0, 0.723600,0.000000,0.000000,0.000000
snow, 5, 0.769400,0.000010,1.000000,10.000000
snow, 100, 0.761900,0.000010,1.000000,10.000000
zoom_blur, 0, 0.582500,0.000000,0.000000,0.000000
zoom_blur, 5, 0.727300,0.000010,1.000000,10.000000
zoom_blur, 100, 0.782500,0.000010,1.000000,10.000000
