noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.806100,0.000000,0.000000,0.000000
brightness, 5, 0.823400,0.000010,1.000000,10.000000
brightness, 100, 0.837300,0.000010,1.000000,10.000000
contrast, 0, 0.189800,0.000000,0.000000,0.000000
contrast, 5, 0.301200,0.000010,1.000000,10.000000
contrast, 100, 0.746200,0.000010,1.000000,10.000000
defocus_blur, 0, 0.512200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.666500,0.000010,1.000000,10.000000
defocus_blur, 100, 0.810500,0.000010,1.000000,10.000000
elastic_transform, 0, 0.711400,0.000000,0.000000,0.000000
elastic_transform, 5, 0.685700,0.000010,1.000000,10.000000
elastic_transform, 100, 0.731400,0.000010,1.000000,10.000000
fog, 0, 0.482800,0.000000,0.000000,0.000000
fog, 5, 0.582100,0.000010,1.000000,10.000000
fog, 100, 0.725800,0.000010,1.000000,10.000000
frost, 0, 0.671900,0.000000,0.000000,0.000000
frost, 5, 0.752500,0.000010,1.000000,10.000000
frost, 100, 0.755100,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.581300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.725600,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.726400,0.000010,1.000000,10.000000
glass_blur, 0, 0.592000,0.000000,0.000000,0.000000
glass_blur, 5, 0.597200,0.000010,1.000000,10.000000
glass_blur, 100, 0.621300,0.000010,1.000000,10.000000
impulse_noise, 0, 0.370900,0.000000,0.000000,0.000000
impulse_noise, 5, 0.572100,0.000010,1.000000,10.000000
impulse_noise, 100, 0.589700,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.795200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.781900,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.779300,0.000010,1.000000,10.000000
motion_blur, 0, 0.580100,0.000000,0.000000,0.000000
motion_blur, 5, 0.702800,0.000010,1.000000,10.000000
motion_blur, 100, 0.759800,0.000010,1.000000,10.000000
pixelate, 0, 0.665600,0.000000,0.000000,0.000000
pixelate, 5, 0.759800,0.000010,1.000000,10.000000
pixelate, 100, 0.761100,0.000010,1.000000,10.000000
shot_noise, 0, 0.609600,0.000000,0.000000,0.000000
shot_noise, 5, 0.729100,0.000010,1.000000,10.000000
shot_noise, 100, 0.736900,0.000010,1.000000,10.000000
snow, 0, 0.727000,0.000000,0.000000,0.000000
snow, 5, 0.760400,0.000010,1.000000,10.000000
snow, 100, 0.761200,0.000010,1.000000,10.000000
zoom_blur, 0, 0.576200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.713900,0.000010,1.000000,10.000000
zoom_blur, 100, 0.771300,0.000010,1.000000,10.000000
