noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801400,0.000000,0.000000,0.000000
brightness, 5, 0.825100,0.000010,1.000000,10.000000
brightness, 100, 0.832900,0.000010,1.000000,10.000000
contrast, 0, 0.190200,0.000000,0.000000,0.000000
contrast, 5, 0.448400,0.000010,1.000000,10.000000
contrast, 100, 0.740300,0.000010,1.000000,10.000000
defocus_blur, 0, 0.510200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.692000,0.000010,1.000000,10.000000
defocus_blur, 100, 0.810300,0.000010,1.000000,10.000000
elastic_transform, 0, 0.716800,0.000000,0.000000,0.000000
elastic_transform, 5, 0.690600,0.000010,1.000000,10.000000
elastic_transform, 100, 0.720800,0.000010,1.000000,10.000000
fog, 0, 0.487400,0.000000,0.000000,0.000000
fog, 5, 0.625100,0.000010,1.000000,10.000000
fog, 100, 0.725400,0.000010,1.000000,10.000000
frost, 0, 0.679100,0.000000,0.000000,0.000000
frost, 5, 0.742000,0.000010,1.000000,10.000000
frost, 100, 0.749700,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.597700,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.732700,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.729600,0.000010,1.000000,10.000000
glass_blur, 0, 0.599200,0.000000,0.000000,0.000000
glass_blur, 5, 0.637300,0.000010,1.000000,10.000000
glass_blur, 100, 0.625100,0.000010,1.000000,10.000000
impulse_noise, 0, 0.385800,0.000000,0.000000,0.000000
impulse_noise, 5, 0.577200,0.000010,1.000000,10.000000
impulse_noise, 100, 0.595300,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.797700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.789200,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.783200,0.000010,1.000000,10.000000
motion_blur, 0, 0.573700,0.000000,0.000000,0.000000
motion_blur, 5, 0.723300,0.000010,1.000000,10.000000
motion_blur, 100, 0.757700,0.000010,1.000000,10.000000
pixelate, 0, 0.656900,0.000000,0.000000,0.000000
pixelate, 5, 0.743600,0.000010,1.000000,10.000000
pixelate, 100, 0.763500,0.000010,1.000000,10.000000
shot_noise, 0, 0.624800,0.000000,0.000000,0.000000
shot_noise, 5, 0.744600,0.000010,1.000000,10.000000
shot_noise, 100, 0.743500,0.000010,1.000000,10.000000
snow, 0, 0.729900,0.000000,0.000000,0.000000
snow, 5, 0.740600,0.000010,1.000000,10.000000
snow, 100, 0.766200,0.000010,1.000000,10.000000
zoom_blur, 0, 0.575100,0.000000,0.000000,0.000000
zoom_blur, 5, 0.703000,0.000010,1.000000,10.000000
zoom_blur, 100, 0.779000,0.000010,1.000000,10.000000
