noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801400,0.000000,0.000000,0.000000
brightness, 5, 0.823200,0.000010,1.000000,10.000000
brightness, 100, 0.836300,0.000010,1.000000,10.000000
contrast, 0, 0.190200,0.000000,0.000000,0.000000
contrast, 5, 0.355800,0.000010,1.000000,10.000000
contrast, 100, 0.741300,0.000010,1.000000,10.000000
defocus_blur, 0, 0.510200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.704300,0.000010,1.000000,10.000000
defocus_blur, 100, 0.806300,0.000010,1.000000,10.000000
elastic_transform, 0, 0.716800,0.000000,0.000000,0.000000
elastic_transform, 5, 0.649400,0.000010,1.000000,10.000000
elastic_transform, 100, 0.728200,0.000010,1.000000,10.000000
fog, 0, 0.487400,0.000000,0.000000,0.000000
fog, 5, 0.604700,0.000010,1.000000,10.000000
fog, 100, 0.733800,0.000010,1.000000,10.000000
frost, 0, 0.679100,0.000000,0.000000,0.000000
frost, 5, 0.738600,0.000010,1.000000,10.000000
frost, 100, 0.758500,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.597700,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.702400,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.726100,0.000010,1.000000,10.000000
glass_blur, 0, 0.599200,0.000000,0.000000,0.000000
glass_blur, 5, 0.630300,0.000010,1.000000,10.000000
glass_blur, 100, 0.619300,0.000010,1.000000,10.000000
impulse_noise, 0, 0.385800,0.000000,0.000000,0.000000
impulse_noise, 5, 0.578000,0.000010,1.000000,10.000000
impulse_noise, 100, 0.595800,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.797700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.781000,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.777100,0.000010,1.000000,10.000000
motion_blur, 0, 0.573700,0.000000,0.000000,0.000000
motion_blur, 5, 0.685500,0.000010,1.000000,10.000000
motion_blur, 100, 0.756600,0.000010,1.000000,10.000000
pixelate, 0, 0.656900,0.000000,0.000000,0.000000
pixelate, 5, 0.748900,0.000010,1.000000,10.000000
pixelate, 100, 0.766500,0.000010,1.000000,10.000000
shot_noise, 0, 0.624800,0.000000,0.000000,0.000000
shot_noise, 5, 0.740800,0.000010,1.000000,10.000000
shot_noise, 100, 0.718000,0.000010,1.000000,10.000000
snow, 0, 0.729900,0.000000,0.000000,0.000000
snow, 5, 0.765000,0.000010,1.000000,10.000000
snow, 100, 0.763500,0.000010,1.000000,10.000000
zoom_blur, 0, 0.575100,0.000000,0.000000,0.000000
zoom_blur, 5, 0.636400,0.000010,1.000000,10.000000
zoom_blur, 100, 0.766300,0.000010,1.000000,10.000000
