noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801700,0.000000,0.000000,0.000000
brightness, 5, 0.826300,0.000010,1.000000,10.000000
brightness, 100, 0.833800,0.000010,1.000000,10.000000
contrast, 0, 0.183700,0.000000,0.000000,0.000000
contrast, 5, 0.433500,0.000010,1.000000,10.000000
contrast, 100, 0.740600,0.000010,1.000000,10.000000
defocus_blur, 0, 0.514500,0.000000,0.000000,0.000000
defocus_blur, 5, 0.696300,0.000010,1.000000,10.000000
defocus_blur, 100, 0.810200,0.000010,1.000000,10.000000
elastic_transform, 0, 0.714100,0.000000,0.000000,0.000000
elastic_transform, 5, 0.715700,0.000010,1.000000,10.000000
elastic_transform, 100, 0.725800,0.000010,1.000000,10.000000
fog, 0, 0.485500,0.000000,0.000000,0.000000
fog, 5, 0.584500,0.000010,1.000000,10.000000
fog, 100, 0.720500,0.000010,1.000000,10.000000
frost, 0, 0.678800,0.000000,0.000000,0.000000
frost, 5, 0.756800,0.000010,1.000000,10.000000
frost, 100, 0.741200,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.589100,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.700700,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.738100,0.000010,1.000000,10.000000
glass_blur, 0, 0.601000,0.000000,0.000000,0.000000
glass_blur, 5, 0.638200,0.000010,1.000000,10.000000
glass_blur, 100, 0.631200,0.000010,1.000000,10.000000
impulse_noise, 0, 0.381400,0.000000,0.000000,0.000000
impulse_noise, 5, 0.543500,0.000010,1.000000,10.000000
impulse_noise, 100, 0.597200,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.791700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.785300,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.778200,0.000010,1.000000,10.000000
motion_blur, 0, 0.586700,0.000000,0.000000,0.000000
motion_blur, 5, 0.695500,0.000010,1.000000,10.000000
motion_blur, 100, 0.753500,0.000010,1.000000,10.000000
pixelate, 0, 0.646700,0.000000,0.000000,0.000000
pixelate, 5, 0.768400,0.000010,1.000000,10.000000
pixelate, 100, 0.763300,0.000010,1.000000,10.000000
shot_noise, 0, 0.618600,0.000000,0.000000,0.000000
shot_noise, 5, 0.721500,0.000010,1.000000,10.000000
shot_noise, 100, 0.733300,0.000010,1.000000,10.000000
snow, 0, 0.723600,0.000000,0.000000,0.000000
snow, 5, 0.772900,0.000010,1.000000,10.000000
snow, 100, 0.769500,0.000010,1.000000,10.000000
zoom_blur, 0, 0.582500,0.000000,0.000000,0.000000
zoom_blur, 5, 0.714700,0.000010,1.000000,10.000000
zoom_blur, 100, 0.770700,0.000010,1.000000,10.000000
