noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801700,0.000000,0.000000,0.000000
brightness, 5, 0.831600,0.000010,1.000000,10.000000
brightness, 100, 0.828100,0.000010,1.000000,10.000000
contrast, 0, 0.183700,0.000000,0.000000,0.000000
contrast, 5, 0.285700,0.000010,1.000000,10.000000
contrast, 100, 0.737000,0.000010,1.000000,10.000000
defocus_blur, 0, 0.514500,0.000000,0.000000,0.000000
defocus_blur, 5, 0.649700,0.000010,1.000000,10.000000
defocus_blur, 100, 0.800100,0.000010,1.000000,10.000000
elastic_transform, 0, 0.714100,0.000000,0.000000,0.000000
elastic_transform, 5, 0.726900,0.000010,1.000000,10.000000
elastic_transform, 100, 0.728500,0.000010,1.000000,10.000000
fog, 0, 0.485500,0.000000,0.000000,0.000000
fog, 5, 0.640600,0.000010,1.000000,10.000000
fog, 100, 0.725900,0.000010,1.000000,10.000000
frost, 0, 0.678800,0.000000,0.000000,0.000000
frost, 5, 0.761000,0.000010,1.000000,10.000000
frost, 100, 0.758300,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.589100,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.716300,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.729200,0.000010,1.000000,10.000000
glass_blur, 0, 0.601000,0.000000,0.000000,0.000000
glass_blur, 5, 0.619100,0.000010,1.000000,10.000000
glass_blur, 100, 0.630200,0.000010,1.000000,10.000000
impulse_noise, 0, 0.381400,0.000000,0.000000,0.000000
impulse_noise, 5, 0.588000,0.000010,1.000000,10.000000
impulse_noise, 100, 0.598400,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.791700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.791200,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.779200,0.000010,1.000000,10.000000
motion_blur, 0, 0.586700,0.000000,0.000000,0.000000
motion_blur, 5, 0.701600,0.000010,1.000000,10.000000
motion_blur, 100, 0.756400,0.000010,1.000000,10.000000
pixelate, 0, 0.646700,0.000000,0.000000,0.000000
pixelate, 5, 0.714500,0.000010,1.000000,10.000000
pixelate, 100, 0.756300,0.000010,1.000000,10.000000
shot_noise, 0, 0.618600,0.000000,0.000000,0.000000
shot_noise, 5, 0.736300,0.000010,1.000000,10.000000
shot_noise, 100, 0.742400,0.000010,1.000000,10.000000
snow, 0, 0.723600,0.000000,0.000000,0.000000
snow, 5, 0.769600,0.000010,1.000000,10.000000
snow, 100, 0.761400,0.000010,1.000000,10.000000
zoom_blur, 0, 0.582500,0.000000,0.000000,0.000000
zoom_blur, 5, 0.705700,0.000010,1.000000,10.000000
zoom_blur, 100, 0.777900,0.000010,1.000000,10.000000
