noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801700,0.000000,0.000000,0.000000
brightness, 5, 0.827700,0.000010,1.000000,10.000000
brightness, 100, 0.823700,0.000010,1.000000,10.000000
contrast, 0, 0.183700,0.000000,0.000000,0.000000
contrast, 5, 0.266100,0.000010,1.000000,10.000000
contrast, 100, 0.734800,0.000010,1.000000,10.000000
defocus_blur, 0, 0.514500,0.000000,0.000000,0.000000
defocus_blur, 5, 0.675200,0.000010,1.000000,10.000000
defocus_blur, 100, 0.808900,0.000010,1.000000,10.000000
elastic_transform, 0, 0.714100,0.000000,0.000000,0.000000
elastic_transform, 5, 0.717500,0.000010,1.000000,10.000000
elastic_transform, 100, 0.718400,0.000010,1.000000,10.000000
fog, 0, 0.485500,0.000000,0.000000,0.000000
fog, 5, 0.604500,0.000010,1.000000,10.000000
fog, 100, 0.738600,0.000010,1.000000,10.000000
frost, 0, 0.678800,0.000000,0.000000,0.000000
frost, 5, 0.747900,0.000010,1.000000,10.000000
frost, 100, 0.745500,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.589100,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.703300,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.729700,0.000010,1.000000,10.000000
glass_blur, 0, 0.601000,0.000000,0.000000,0.000000
glass_blur, 5, 0.617200,0.000010,1.000000,10.000000
glass_blur, 100, 0.620500,0.000010,1.000000,10.000000
impulse_noise, 0, 0.381400,0.000000,0.000000,0.000000
impulse_noise, 5, 0.576900,0.000010,1.000000,10.000000
impulse_noise, 100, 0.595300,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.791700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.796900,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.781300,0.000010,1.000000,10.000000
motion_blur, 0, 0.586700,0.000000,0.000000,0.000000
motion_blur, 5, 0.687500,0.000010,1.000000,10.000000
motion_blur, 100, 0.754600,0.000010,1.000000,10.000000
pixelate, 0, 0.646700,0.000000,0.000000,0.000000
pixelate, 5, 0.742700,0.000010,1.000000,10.000000
pixelate, 100, 0.763100,0.000010,1.000000,10.000000
shot_noise, 0, 0.618600,0.000000,0.000000,0.000000
shot_noise, 5, 0.736700,0.000010,1.000000,10.000000
shot_noise, 100, 0.749000,0.000010,1.000000,10.000000
snow, 0, 0.723600,0.000000,0.000000,0.000000
snow, 5, 0.761500,0.000010,1.000000,10.000000
snow, 100, 0.762600,0.000010,1.000000,10.000000
zoom_blur, 0, 0.582500,0.000000,0.000000,0.000000
zoom_blur, 5, 0.720200,0.000010,1.000000,10.000000
zoom_blur, 100, 0.781400,0.000010,1.000000,10.000000
