noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.806100,0.000000,0.000000,0.000000
brightness, 5, 0.825800,0.000010,1.000000,10.000000
brightness, 100, 0.833400,0.000010,1.000000,10.000000
contrast, 0, 0.189800,0.000000,0.000000,0.000000
contrast, 5, 0.401400,0.000010,1.000000,10.000000
contrast, 100, 0.736600,0.000010,1.000000,10.000000
defocus_blur, 0, 0.512200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.727200,0.000010,1.000000,10.000000
defocus_blur, 100, 0.801700,0.000010,1.000000,10.000000
elastic_transform, 0, 0.711400,0.000000,0.000000,0.000000
elastic_transform, 5, 0.710200,0.000010,1.000000,10.000000
elastic_transform, 100, 0.716500,0.000010,1.000000,10.000000
fog, 0, 0.482800,0.000000,0.000000,0.000000
fog, 5, 0.623500,0.000010,1.000000,10.000000
fog, 100, 0.736500,0.000010,1.000000,10.000000
frost, 0, 0.671900,0.000000,0.000000,0.000000
frost, 5, 0.729600,0.000010,1.000000,10.000000
frost, 100, 0.749400,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.581300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.722100,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.719000,0.000010,1.000000,10.000000
glass_blur, 0, 0.592000,0.000000,0.000000,0.000000
glass_blur, 5, 0.642800,0.000010,1.000000,10.000000
glass_blur, 100, 0.621200,0.000010,1.000000,10.000000
impulse_noise, 0, 0.370900,0.000000,0.000000,0.000000
impulse_noise, 5, 0.576600,0.000010,1.000000,10.000000
impulse_noise, 100, 0.600600,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.795200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.792600,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.773700,0.000010,1.000000,10.000000
motion_blur, 0, 0.580100,0.000000,0.000000,0.000000
motion_blur, 5, 0.679000,0.000010,1.000000,10.000000
motion_blur, 100, 0.753400,0.000010,1.000000,10.000000
pixelate, 0, 0.665600,0.000000,0.000000,0.000000
pixelate, 5, 0.754200,0.000010,1.000000,10.000000
pixelate, 100, 0.764700,0.000010,1.000000,10.000000
shot_noise, 0, 0.609600,0.000000,0.000000,0.000000
shot_noise, 5, 0.742700,0.000010,1.000000,10.000000
shot_noise, 100, 0.742900,0.000010,1.000000,10.000000
snow, 0, 0.727000,0.000000,0.000000,0.000000
snow, 5, 0.734000,0.000010,1.000000,10.000000
snow, 100, 0.754400,0.000010,1.000000,10.000000
zoom_blur, 0, 0.576200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.717000,0.000010,1.000000,10.000000
zoom_blur, 100, 0.776000,0.000010,1.000000,10.000000
