noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.810000,0.000000,0.000000,0.000000
brightness, 5, 0.826900,0.000010,1.000000,10.000000
brightness, 100, 0.831600,0.000010,1.000000,10.000000
contrast, 0, 0.197900,0.000000,0.000000,0.000000
contrast, 5, 0.416300,0.000010,1.000000,10.000000
contrast, 100, 0.728600,0.000010,1.000000,10.000000
defocus_blur, 0, 0.532800,0.000000,0.000000,0.000000
defocus_blur, 5, 0.736300,0.000010,1.000000,10.000000
defocus_blur, 100, 0.811800,0.000010,1.000000,10.000000
elastic_transform, 0, 0.721600,0.000000,0.000000,0.000000
elastic_transform, 5, 0.692300,0.000010,1.000000,10.000000
elastic_transform, 100, 0.724400,0.000010,1.000000,10.000000
fog, 0, 0.515000,0.000000,0.000000,0.000000
fog, 5, 0.635400,0.000010,1.000000,10.000000
fog, 100, 0.727300,0.000010,1.000000,10.000000
frost, 0, 0.687100,0.000000,0.000000,0.000000
frost, 5, 0.754800,0.000010,1.000000,10.000000
frost, 100, 0.756000,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.601700,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.726100,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.721100,0.000010,1.000000,10.000000
glass_blur, 0, 0.610200,0.000000,0.000000,0.000000
glass_blur, 5, 0.644300,0.000010,1.000000,10.000000
glass_blur, 100, 0.619900,0.000010,1.000000,10.000000
impulse_noise, 0, 0.392500,0.000000,0.000000,0.000000
impulse_noise, 5, 0.592300,0.000010,1.000000,10.000000
impulse_noise, 100, 0.594400,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.797700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.792100,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.787300,0.000010,1.000000,10.000000
motion_blur, 0, 0.597100,0.000000,0.000000,0.000000
motion_blur, 5, 0.698000,0.000010,1.000000,10.000000
motion_blur, 100, 0.754400,0.000010,1.000000,10.000000
pixelate, 0, 0.653900,0.000000,0.000000,0.000000
pixelate, 5, 0.769900,0.000010,1.000000,10.000000
pixelate, 100, 0.764900,0.000010,1.000000,10.000000
shot_noise, 0, 0.632900,0.000000,0.000000,0.000000
shot_noise, 5, 0.717500,0.000010,1.000000,10.000000
shot_noise, 100, 0.748300,0.000010,1.000000,10.000000
snow, 0, 0.733300,0.000000,0.000000,0.000000
snow, 5, 0.759100,0.000010,1.000000,10.000000
snow, 100, 0.762200,0.000010,1.000000,10.000000
zoom_blur, 0, 0.594700,0.000000,0.000000,0.000000
zoom_blur, 5, 0.724300,0.000010,1.000000,10.000000
zoom_blur, 100, 0.771300,0.000010,1.000000,10.000000
