noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.811200,0.000000,0.000000,0.000000
brightness, 5, 0.834800,0.000010,1.000000,10.000000
brightness, 100, 0.833900,0.000010,1.000000,10.000000
contrast, 0, 0.205000,0.000000,0.000000,0.000000
contrast, 5, 0.380200,0.000010,1.000000,10.000000
contrast, 100, 0.731000,0.000010,1.000000,10.000000
defocus_blur, 0, 0.535100,0.000000,0.000000,0.000000
defocus_blur, 5, 0.702000,0.000010,1.000000,10.000000
defocus_blur, 100, 0.800900,0.000010,1.000000,10.000000
elastic_transform, 0, 0.722900,0.000000,0.000000,0.000000
elastic_transform, 5, 0.703200,0.000010,1.000000,10.000000
elastic_transform, 100, 0.731100,0.000010,1.000000,10.000000
fog, 0, 0.514900,0.000000,0.000000,0.000000
fog, 5, 0.683000,0.000010,1.000000,10.000000
fog, 100, 0.717000,0.000010,1.000000,10.000000
frost, 0, 0.679800,0.000000,0.000000,0.000000
frost, 5, 0.746700,0.000010,1.000000,10.000000
frost, 100, 0.747600,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.586000,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.726800,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.727000,0.000010,1.000000,10.000000
glass_blur, 0, 0.599300,0.000000,0.000000,0.000000
glass_blur, 5, 0.608700,0.000010,1.000000,10.000000
glass_blur, 100, 0.626000,0.000010,1.000000,10.000000
impulse_noise, 0, 0.376200,0.000000,0.000000,0.000000
impulse_noise, 5, 0.546600,0.000010,1.000000,10.000000
impulse_noise, 100, 0.603500,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.799300,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.780800,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.789800,0.000010,1.000000,10.000000
motion_blur, 0, 0.601200,0.000000,0.000000,0.000000
motion_blur, 5, 0.711200,0.000010,1.000000,10.000000
motion_blur, 100, 0.757700,0.000010,1.000000,10.000000
pixelate, 0, 0.664000,0.000000,0.000000,0.000000
pixelate, 5, 0.764400,0.000010,1.000000,10.000000
pixelate, 100, 0.763600,0.000010,1.000000,10.000000
shot_noise, 0, 0.612500,0.000000,0.000000,0.000000
shot_noise, 5, 0.748100,0.000010,1.000000,10.000000
shot_noise, 100, 0.744800,0.000010,1.000000,10.000000
snow, 0, 0.730400,0.000000,0.000000,0.000000
snow, 5, 0.768200,0.000010,1.000000,10.000000
snow, 100, 0.770800,0.000010,1.000000,10.000000
zoom_blur, 0, 0.594600,0.000000,0.000000,0.000000
zoom_blur, 5, 0.744600,0.000010,1.000000,10.000000
zoom_blur, 100, 0.778600,0.000010,1.000000,10.000000
