noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.460640,0.000000,0.000000,0.000000
brightness, 1, 0.392480,0.000010,0.250000,10.000000
brightness, 25, 0.549920,0.000010,1.000000,10.000000
brightness, 50, 0.552220,0.000010,0.750000,10.000000
brightness, 75, 0.557060,0.000010,0.250000,10.000000
brightness, 100, 0.559900,0.000010,0.750000,10.000000
contrast, 0, 0.016960,0.000000,0.000000,0.000000
contrast, 1, 0.004940,0.000010,0.250000,10.000000
contrast, 25, 0.067400,0.000010,1.000000,10.000000
contrast, 50, 0.078220,0.000010,0.250000,10.000000
contrast, 75, 0.073280,0.000010,0.750000,10.000000
contrast, 100, 0.074760,0.000010,0.500000,10.000000
defocus_blur, 0, 0.085200,0.000000,0.000000,0.000000
defocus_blur, 1, 0.058920,0.000010,0.250000,10.000000
defocus_blur, 25, 0.101680,0.000010,0.500000,10.000000
defocus_blur, 50, 0.090780,0.000010,1.000000,10.000000
defocus_blur, 75, 0.096180,0.000010,0.750000,10.000000
defocus_blur, 100, 0.095540,0.000010,0.250000,10.000000
elastic_transform, 0, 0.150380,0.000000,0.000000,0.000000
elastic_transform, 1, 0.249200,0.000010,0.250000,10.000000
elastic_transform, 25, 0.336540,0.000010,0.250000,10.000000
elastic_transform, 50, 0.352100,0.000010,0.250000,10.000000
elastic_transform, 75, 0.355400,0.000010,0.250000,10.000000
elastic_transform, 100, 0.356680,0.000010,0.750000,10.000000
fog, 0, 0.119540,0.000000,0.000000,0.000000
fog, 1, 0.248080,0.000010,1.000000,10.000000
fog, 25, 0.333240,0.000010,0.500000,10.000000
fog, 50, 0.345820,0.000010,0.500000,10.000000
fog, 75, 0.359580,0.000010,0.250000,10.000000
fog, 100, 0.358940,0.000010,0.250000,10.000000
frost, 0, 0.140940,0.000000,0.000000,0.000000
frost, 1, 0.172480,0.000010,0.250000,10.000000
frost, 25, 0.266400,0.000010,0.250000,10.000000
frost, 50, 0.263640,0.000010,0.500000,10.000000
frost, 75, 0.266860,0.000010,0.500000,10.000000
frost, 100, 0.265820,0.000010,0.750000,10.000000
gaussian_noise, 0, 0.016400,0.000000,0.000000,0.000000
gaussian_noise, 1, 0.042160,0.000010,0.250000,10.000000
gaussian_noise, 25, 0.121840,0.000010,0.750000,10.000000
gaussian_noise, 50, 0.111320,0.000010,0.500000,10.000000
gaussian_noise, 75, 0.112280,0.000010,0.750000,10.000000
gaussian_noise, 100, 0.110560,0.000010,0.750000,10.000000
glass_blur, 0, 0.075820,0.000000,0.000000,0.000000
glass_blur, 1, 0.066840,0.000010,1.000000,10.000000
glass_blur, 25, 0.117000,0.000010,0.750000,10.000000
glass_blur, 50, 0.103260,0.000010,1.000000,10.000000
glass_blur, 75, 0.105900,0.000010,0.250000,10.000000
glass_blur, 100, 0.104120,0.000010,0.250000,10.000000
impulse_noise, 0, 0.016280,0.000000,0.000000,0.000000
impulse_noise, 1, 0.037620,0.000010,0.250000,10.000000
impulse_noise, 25, 0.113960,0.000010,1.000000,10.000000
impulse_noise, 50, 0.112460,0.000010,0.750000,10.000000
impulse_noise, 75, 0.112180,0.000010,0.250000,10.000000
impulse_noise, 100, 0.112280,0.000010,0.500000,10.000000
jpeg_compression, 0, 0.301380,0.000000,0.000000,0.000000
jpeg_compression, 1, 0.214440,0.000010,0.250000,10.000000
jpeg_compression, 25, 0.319900,0.000010,0.500000,10.000000
jpeg_compression, 50, 0.299920,0.000010,0.500000,10.000000
jpeg_compression, 75, 0.299300,0.000010,0.500000,10.000000
jpeg_compression, 100, 0.295780,0.000010,0.750000,10.000000
motion_blur, 0, 0.093400,0.000000,0.000000,0.000000
motion_blur, 1, 0.072880,0.000010,0.250000,10.000000
motion_blur, 25, 0.165620,0.000010,0.750000,10.000000
motion_blur, 50, 0.161820,0.000010,0.750000,10.000000
motion_blur, 75, 0.166400,0.000010,0.500000,10.000000
motion_blur, 100, 0.164220,0.000010,0.750000,10.000000
pixelate, 0, 0.249560,0.000000,0.000000,0.000000
pixelate, 1, 0.226020,0.000010,0.500000,10.000000
pixelate, 25, 0.360160,0.000010,0.250000,10.000000
pixelate, 50, 0.389280,0.000010,0.500000,10.000000
pixelate, 75, 0.392880,0.000010,0.500000,10.000000
pixelate, 100, 0.396700,0.000010,0.250000,10.000000
shot_noise, 0, 0.024460,0.000000,0.000000,0.000000
shot_noise, 1, 0.027100,0.000010,2.000000,10.000000
shot_noise, 25, 0.133420,0.000010,0.250000,10.000000
shot_noise, 50, 0.118100,0.000010,0.250000,10.000000
shot_noise, 75, 0.119880,0.000010,0.250000,10.000000
shot_noise, 100, 0.118080,0.000010,0.500000,10.000000
snow, 0, 0.094420,0.000000,0.000000,0.000000
snow, 1, 0.104920,0.000010,0.250000,10.000000
snow, 25, 0.234260,0.000010,0.750000,10.000000
snow, 50, 0.254440,0.000010,0.750000,10.000000
snow, 75, 0.261340,0.000010,0.250000,10.000000
snow, 100, 0.262040,0.000010,0.750000,10.000000
zoom_blur, 0, 0.172220,0.000000,0.000000,0.000000
zoom_blur, 1, 0.034000,0.000010,0.750000,10.000000
zoom_blur, 25, 0.287460,0.000010,0.500000,10.000000
zoom_blur, 50, 0.306280,0.000010,0.750000,10.000000
zoom_blur, 75, 0.308360,0.000010,0.500000,10.000000
zoom_blur, 100, 0.308240,0.000010,0.500000,10.000000
