noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.810000,0.000000,0.000000,0.000000
brightness, 5, 0.830300,0.000010,1.000000,10.000000
brightness, 100, 0.836100,0.000010,1.000000,10.000000
contrast, 0, 0.197900,0.000000,0.000000,0.000000
contrast, 5, 0.294800,0.000010,1.000000,10.000000
contrast, 100, 0.732700,0.000010,1.000000,10.000000
defocus_blur, 0, 0.532800,0.000000,0.000000,0.000000
defocus_blur, 5, 0.664300,0.000010,1.000000,10.000000
defocus_blur, 100, 0.811700,0.000010,1.000000,10.000000
elastic_transform, 0, 0.721600,0.000000,0.000000,0.000000
elastic_transform, 5, 0.707100,0.000010,1.000000,10.000000
elastic_transform, 100, 0.723900,0.000010,1.000000,10.000000
fog, 0, 0.515000,0.000000,0.000000,0.000000
fog, 5, 0.617300,0.000010,1.000000,10.000000
fog, 100, 0.732200,0.000010,1.000000,10.000000
frost, 0, 0.687100,0.000000,0.000000,0.000000
frost, 5, 0.761400,0.000010,1.000000,10.000000
frost, 100, 0.750200,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.601700,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.710700,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.725600,0.000010,1.000000,10.000000
glass_blur, 0, 0.610200,0.000000,0.000000,0.000000
glass_blur, 5, 0.643000,0.000010,1.000000,10.000000
glass_blur, 100, 0.628300,0.000010,1.000000,10.000000
impulse_noise, 0, 0.392500,0.000000,0.000000,0.000000
impulse_noise, 5, 0.579500,0.000010,1.000000,10.000000
impulse_noise, 100, 0.597600,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.797700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.780400,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.770700,0.000010,1.000000,10.000000
motion_blur, 0, 0.597100,0.000000,0.000000,0.000000
motion_blur, 5, 0.687400,0.000010,1.000000,10.000000
motion_blur, 100, 0.764700,0.000010,1.000000,10.000000
pixelate, 0, 0.653900,0.000000,0.000000,0.000000
pixelate, 5, 0.731000,0.000010,1.000000,10.000000
pixelate, 100, 0.769400,0.000010,1.000000,10.000000
shot_noise, 0, 0.632900,0.000000,0.000000,0.000000
shot_noise, 5, 0.742800,0.000010,1.000000,10.000000
shot_noise, 100, 0.732000,0.000010,1.000000,10.000000
snow, 0, 0.733300,0.000000,0.000000,0.000000
snow, 5, 0.766600,0.000010,1.000000,10.000000
snow, 100, 0.767600,0.000010,1.000000,10.000000
zoom_blur, 0, 0.594700,0.000000,0.000000,0.000000
zoom_blur, 5, 0.717300,0.000010,1.000000,10.000000
zoom_blur, 100, 0.775200,0.000010,1.000000,10.000000
