noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.806100,0.000000,0.000000,0.000000
brightness, 5, 0.828400,0.000010,1.000000,10.000000
brightness, 100, 0.834400,0.000010,1.000000,10.000000
contrast, 0, 0.189800,0.000000,0.000000,0.000000
contrast, 5, 0.321700,0.000010,1.000000,10.000000
contrast, 100, 0.731100,0.000010,1.000000,10.000000
defocus_blur, 0, 0.512200,0.000000,0.000000,0.000000
defocus_blur, 5, 0.693200,0.000010,1.000000,10.000000
defocus_blur, 100, 0.812600,0.000010,1.000000,10.000000
elastic_transform, 0, 0.711400,0.000000,0.000000,0.000000
elastic_transform, 5, 0.675800,0.000010,1.000000,10.000000
elastic_transform, 100, 0.722600,0.000010,1.000000,10.000000
fog, 0, 0.482800,0.000000,0.000000,0.000000
fog, 5, 0.630900,0.000010,1.000000,10.000000
fog, 100, 0.732800,0.000010,1.000000,10.000000
frost, 0, 0.671900,0.000000,0.000000,0.000000
frost, 5, 0.752200,0.000010,1.000000,10.000000
frost, 100, 0.755300,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.581300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.721000,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.726400,0.000010,1.000000,10.000000
glass_blur, 0, 0.592000,0.000000,0.000000,0.000000
glass_blur, 5, 0.592000,0.000010,1.000000,10.000000
glass_blur, 100, 0.618000,0.000010,1.000000,10.000000
impulse_noise, 0, 0.370900,0.000000,0.000000,0.000000
impulse_noise, 5, 0.564900,0.000010,1.000000,10.000000
impulse_noise, 100, 0.584100,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.795200,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.780300,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.778400,0.000010,1.000000,10.000000
motion_blur, 0, 0.580100,0.000000,0.000000,0.000000
motion_blur, 5, 0.697200,0.000010,1.000000,10.000000
motion_blur, 100, 0.757400,0.000010,1.000000,10.000000
pixelate, 0, 0.665600,0.000000,0.000000,0.000000
pixelate, 5, 0.758900,0.000010,1.000000,10.000000
pixelate, 100, 0.758200,0.000010,1.000000,10.000000
shot_noise, 0, 0.609600,0.000000,0.000000,0.000000
shot_noise, 5, 0.737100,0.000010,1.000000,10.000000
shot_noise, 100, 0.745600,0.000010,1.000000,10.000000
snow, 0, 0.727000,0.000000,0.000000,0.000000
snow, 5, 0.764900,0.000010,1.000000,10.000000
snow, 100, 0.755700,0.000010,1.000000,10.000000
zoom_blur, 0, 0.576200,0.000000,0.000000,0.000000
zoom_blur, 5, 0.710700,0.000010,1.000000,10.000000
zoom_blur, 100, 0.768600,0.000010,1.000000,10.000000
