noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.804700,0.000000,0.000000,0.000000
brightness, 5, 0.835600,0.000010,1.000000,10.000000
brightness, 100, 0.832000,0.000010,1.000000,10.000000
contrast, 0, 0.195400,0.000000,0.000000,0.000000
contrast, 5, 0.336200,0.000010,1.000000,10.000000
contrast, 100, 0.737300,0.000010,1.000000,10.000000
defocus_blur, 0, 0.521300,0.000000,0.000000,0.000000
defocus_blur, 5, 0.724700,0.000010,1.000000,10.000000
defocus_blur, 100, 0.812200,0.000010,1.000000,10.000000
elastic_transform, 0, 0.718200,0.000000,0.000000,0.000000
elastic_transform, 5, 0.698100,0.000010,1.000000,10.000000
elastic_transform, 100, 0.731800,0.000010,1.000000,10.000000
fog, 0, 0.501900,0.000000,0.000000,0.000000
fog, 5, 0.632700,0.000010,1.000000,10.000000
fog, 100, 0.732700,0.000010,1.000000,10.000000
frost, 0, 0.671200,0.000000,0.000000,0.000000
frost, 5, 0.754600,0.000010,1.000000,10.000000
frost, 100, 0.749900,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.576300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.705800,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.730300,0.000010,1.000000,10.000000
glass_blur, 0, 0.591800,0.000000,0.000000,0.000000
glass_blur, 5, 0.602700,0.000010,1.000000,10.000000
glass_blur, 100, 0.611200,0.000010,1.000000,10.000000
impulse_noise, 0, 0.362200,0.000000,0.000000,0.000000
impulse_noise, 5, 0.570600,0.000010,1.000000,10.000000
impulse_noise, 100, 0.600600,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.796400,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.760700,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.772900,0.000010,1.000000,10.000000
motion_blur, 0, 0.590000,0.000000,0.000000,0.000000
motion_blur, 5, 0.699500,0.000010,1.000000,10.000000
motion_blur, 100, 0.746100,0.000010,1.000000,10.000000
pixelate, 0, 0.662000,0.000000,0.000000,0.000000
pixelate, 5, 0.752000,0.000010,1.000000,10.000000
pixelate, 100, 0.762000,0.000010,1.000000,10.000000
shot_noise, 0, 0.605200,0.000000,0.000000,0.000000
shot_noise, 5, 0.749100,0.000010,1.000000,10.000000
shot_noise, 100, 0.747400,0.000010,1.000000,10.000000
snow, 0, 0.723500,0.000000,0.000000,0.000000
snow, 5, 0.749800,0.000010,1.000000,10.000000
snow, 100, 0.760300,0.000010,1.000000,10.000000
zoom_blur, 0, 0.588600,0.000000,0.000000,0.000000
zoom_blur, 5, 0.629800,0.000010,1.000000,10.000000
zoom_blur, 100, 0.786400,0.000010,1.000000,10.000000
