noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.801700,0.000000,0.000000,0.000000
brightness, 5, 0.826800,0.000010,1.000000,10.000000
brightness, 100, 0.830300,0.000010,1.000000,10.000000
contrast, 0, 0.183700,0.000000,0.000000,0.000000
contrast, 5, 0.444200,0.000010,1.000000,10.000000
contrast, 100, 0.745000,0.000010,1.000000,10.000000
defocus_blur, 0, 0.514500,0.000000,0.000000,0.000000
defocus_blur, 5, 0.605900,0.000010,1.000000,10.000000
defocus_blur, 100, 0.809800,0.000010,1.000000,10.000000
elastic_transform, 0, 0.714100,0.000000,0.000000,0.000000
elastic_transform, 5, 0.727700,0.000010,1.000000,10.000000
elastic_transform, 100, 0.723800,0.000010,1.000000,10.000000
fog, 0, 0.485500,0.000000,0.000000,0.000000
fog, 5, 0.598800,0.000010,1.000000,10.000000
fog, 100, 0.728800,0.000010,1.000000,10.000000
frost, 0, 0.678800,0.000000,0.000000,0.000000
frost, 5, 0.749200,0.000010,1.000000,10.000000
frost, 100, 0.750800,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.589100,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.721100,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.722500,0.000010,1.000000,10.000000
glass_blur, 0, 0.601000,0.000000,0.000000,0.000000
glass_blur, 5, 0.639000,0.000010,1.000000,10.000000
glass_blur, 100, 0.631900,0.000010,1.000000,10.000000
impulse_noise, 0, 0.381400,0.000000,0.000000,0.000000
impulse_noise, 5, 0.566000,0.000010,1.000000,10.000000
impulse_noise, 100, 0.602600,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.791700,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.775100,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.770000,0.000010,1.000000,10.000000
motion_blur, 0, 0.586700,0.000000,0.000000,0.000000
motion_blur, 5, 0.706800,0.000010,1.000000,10.000000
motion_blur, 100, 0.766900,0.000010,1.000000,10.000000
pixelate, 0, 0.646700,0.000000,0.000000,0.000000
pixelate, 5, 0.722900,0.000010,1.000000,10.000000
pixelate, 100, 0.749400,0.000010,1.000000,10.000000
shot_noise, 0, 0.618600,0.000000,0.000000,0.000000
shot_noise, 5, 0.728100,0.000010,1.000000,10.000000
shot_noise, 100, 0.744500,0.000010,1.000000,10.000000
snow, 0, 0.723600,0.000000,0.000000,0.000000
snow, 5, 0.759800,0.000010,1.000000,10.000000
snow, 100, 0.753200,0.000010,1.000000,10.000000
zoom_blur, 0, 0.582500,0.000000,0.000000,0.000000
zoom_blur, 5, 0.716100,0.000010,1.000000,10.000000
zoom_blur, 100, 0.773400,0.000010,1.000000,10.000000
