noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 0, 0.804700,0.000000,0.000000,0.000000
brightness, 5, 0.827000,0.000010,1.000000,10.000000
brightness, 100, 0.836900,0.000010,1.000000,10.000000
contrast, 0, 0.195400,0.000000,0.000000,0.000000
contrast, 5, 0.329000,0.000010,1.000000,10.000000
contrast, 100, 0.735100,0.000010,1.000000,10.000000
defocus_blur, 0, 0.521300,0.000000,0.000000,0.000000
defocus_blur, 5, 0.691000,0.000010,1.000000,10.000000
defocus_blur, 100, 0.810200,0.000010,1.000000,10.000000
elastic_transform, 0, 0.718200,0.000000,0.000000,0.000000
elastic_transform, 5, 0.666800,0.000010,1.000000,10.000000
elastic_transform, 100, 0.726500,0.000010,1.000000,10.000000
fog, 0, 0.501900,0.000000,0.000000,0.000000
fog, 5, 0.680200,0.000010,1.000000,10.000000
fog, 100, 0.721800,0.000010,1.000000,10.000000
frost, 0, 0.671200,0.000000,0.000000,0.000000
frost, 5, 0.741800,0.000010,1.000000,10.000000
frost, 100, 0.753300,0.000010,1.000000,10.000000
gaussian_noise, 0, 0.576300,0.000000,0.000000,0.000000
gaussian_noise, 5, 0.722900,0.000010,1.000000,10.000000
gaussian_noise, 100, 0.742700,0.000010,1.000000,10.000000
glass_blur, 0, 0.591800,0.000000,0.000000,0.000000
glass_blur, 5, 0.638200,0.000010,1.000000,10.000000
glass_blur, 100, 0.627800,0.000010,1.000000,10.000000
impulse_noise, 0, 0.362200,0.000000,0.000000,0.000000
impulse_noise, 5, 0.583300,0.000010,1.000000,10.000000
impulse_noise, 100, 0.602900,0.000010,1.000000,10.000000
jpeg_compression, 0, 0.796400,0.000000,0.000000,0.000000
jpeg_compression, 5, 0.787500,0.000010,1.000000,10.000000
jpeg_compression, 100, 0.787000,0.000010,1.000000,10.000000
motion_blur, 0, 0.590000,0.000000,0.000000,0.000000
motion_blur, 5, 0.714300,0.000010,1.000000,10.000000
motion_blur, 100, 0.752300,0.000010,1.000000,10.000000
pixelate, 0, 0.662000,0.000000,0.000000,0.000000
pixelate, 5, 0.743600,0.000010,1.000000,10.000000
pixelate, 100, 0.766200,0.000010,1.000000,10.000000
shot_noise, 0, 0.605200,0.000000,0.000000,0.000000
shot_noise, 5, 0.726600,0.000010,1.000000,10.000000
shot_noise, 100, 0.735400,0.000010,1.000000,10.000000
snow, 0, 0.723500,0.000000,0.000000,0.000000
snow, 5, 0.743200,0.000010,1.000000,10.000000
snow, 100, 0.764900,0.000010,1.000000,10.000000
zoom_blur, 0, 0.588600,0.000000,0.000000,0.000000
zoom_blur, 5, 0.721500,0.000010,1.000000,10.000000
zoom_blur, 100, 0.778800,0.000010,1.000000,10.000000
